Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-09 20:42:45,c4:7c:8d:6d:26:c9,11.4,73.59,373.0,0.82
2025-04-09 20:32:45,c4:7c:8d:6d:26:c9,18.02,71.44,503.5,0.8
2025-04-09 20:22:45,c4:7c:8d:6d:26:c9,19.8,60.96,484.58,0.42
2025-04-09 20:12:45,c4:7c:8d:6d:26:c9,10.2,68.8,388.23,0.77
2025-04-09 20:02:45,c4:7c:8d:6d:26:c9,15.82,64.47,320.57,0.85
2025-04-09 19:52:45,c4:7c:8d:6d:26:c9,10.54,62.14,310.78,0.51
2025-04-09 19:42:45,c4:7c:8d:6d:26:c9,15.99,65.02,561.47,0.72
2025-04-09 19:32:45,c4:7c:8d:6d:26:c9,12.85,64.76,473.98,0.57
2025-04-09 19:22:45,c4:7c:8d:6d:26:c9,20.0,66.19,428.17,0.83
2025-04-09 19:12:45,c4:7c:8d:6d:26:c9,17.2,69.45,380.55,0.62
2025-04-09 19:02:45,c4:7c:8d:6d:26:c9,11.02,68.0,434.27,0.42
2025-04-09 18:52:45,c4:7c:8d:6d:26:c9,19.55,68.69,592.09,0.43
2025-04-09 18:42:45,c4:7c:8d:6d:26:c9,15.16,68.11,513.49,0.83
2025-04-09 18:32:45,c4:7c:8d:6d:26:c9,16.27,65.14,556.95,0.91
2025-04-09 18:22:45,c4:7c:8d:6d:26:c9,13.9,63.19,300.01,0.89
2025-04-09 18:12:45,c4:7c:8d:6d:26:c9,19.73,73.07,303.63,0.7
2025-04-09 18:02:45,c4:7c:8d:6d:26:c9,11.13,64.8,376.33,0.42
2025-04-09 17:52:45,c4:7c:8d:6d:26:c9,13.53,69.81,407.69,0.7
2025-04-09 17:42:45,c4:7c:8d:6d:26:c9,17.63,68.62,386.27,0.68
2025-04-09 17:32:45,c4:7c:8d:6d:26:c9,18.82,68.62,423.52,0.42
2025-04-09 17:22:45,c4:7c:8d:6d:26:c9,11.68,72.19,389.6,0.75
2025-04-09 17:12:45,c4:7c:8d:6d:26:c9,14.8,60.65,331.26,0.69
2025-04-09 17:02:45,c4:7c:8d:6d:26:c9,10.67,65.31,356.99,0.41
2025-04-09 16:52:45,c4:7c:8d:6d:26:c9,13.77,73.47,528.97,0.53
2025-04-09 16:42:45,c4:7c:8d:6d:26:c9,17.58,61.47,451.76,0.61
2025-04-09 16:32:45,c4:7c:8d:6d:26:c9,10.41,72.79,468.0,0.51
2025-04-09 16:22:45,c4:7c:8d:6d:26:c9,16.33,66.18,350.88,0.86
2025-04-09 16:12:45,c4:7c:8d:6d:26:c9,17.66,67.62,535.6,0.89
2025-04-09 16:02:45,c4:7c:8d:6d:26:c9,11.7,68.6,448.46,0.86
2025-04-09 15:52:45,c4:7c:8d:6d:26:c9,14.03,63.39,560.89,0.49
2025-04-09 15:42:45,c4:7c:8d:6d:26:c9,15.47,64.54,311.27,0.54
2025-04-09 15:32:45,c4:7c:8d:6d:26:c9,17.21,60.9,573.84,0.79
2025-04-09 15:22:45,c4:7c:8d:6d:26:c9,14.19,68.29,378.76,0.56
2025-04-09 15:12:45,c4:7c:8d:6d:26:c9,13.9,73.93,369.8,1.0
2025-04-09 15:02:45,c4:7c:8d:6d:26:c9,10.27,73.7,564.4,0.91
2025-04-09 14:52:45,c4:7c:8d:6d:26:c9,18.05,61.51,353.2,0.73
2025-04-09 14:42:45,c4:7c:8d:6d:26:c9,15.22,65.51,408.74,0.71
2025-04-09 14:32:45,c4:7c:8d:6d:26:c9,13.98,73.98,591.5,1.0
2025-04-09 14:22:45,c4:7c:8d:6d:26:c9,15.44,70.77,493.03,0.45
2025-04-09 14:12:45,c4:7c:8d:6d:26:c9,16.51,72.0,532.76,0.43
2025-04-09 14:02:45,c4:7c:8d:6d:26:c9,14.75,61.9,542.24,0.61
2025-04-09 13:52:45,c4:7c:8d:6d:26:c9,19.52,61.42,462.59,0.77
2025-04-09 13:42:45,c4:7c:8d:6d:26:c9,16.54,63.56,501.6,0.49
2025-04-09 13:32:45,c4:7c:8d:6d:26:c9,17.54,67.23,380.72,0.46
2025-04-09 13:22:45,c4:7c:8d:6d:26:c9,18.46,61.56,500.22,0.62
2025-04-09 13:12:45,c4:7c:8d:6d:26:c9,15.23,60.11,406.88,0.79
