Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-30 15:07:14,c4:7c:8d:6d:26:c9,25.88,59.52,795.2,81.97
2025-04-30 14:57:14,c4:7c:8d:6d:26:c9,25.9,59.44,814.75,78.48
2025-04-30 14:47:14,c4:7c:8d:6d:26:c9,25.03,60.19,817.06,84.71
2025-04-30 14:37:14,c4:7c:8d:6d:26:c9,25.19,61.07,855.86,84.73
2025-04-30 14:27:14,c4:7c:8d:6d:26:c9,26.43,62.77,848.4,81.92
2025-04-30 14:17:14,c4:7c:8d:6d:26:c9,25.72,60.99,895.05,83.19
2025-04-30 14:07:14,c4:7c:8d:6d:26:c9,26.77,62.16,917.19,81.6
2025-04-30 13:57:14,c4:7c:8d:6d:26:c9,25.41,61.52,923.86,86.46
2025-04-30 13:47:14,c4:7c:8d:6d:26:c9,27.48,60.81,960.31,83.11
2025-04-30 13:37:14,c4:7c:8d:6d:26:c9,26.61,63.52,951.52,82.98
2025-04-30 13:27:14,c4:7c:8d:6d:26:c9,26.72,62.71,964.45,82.37
2025-04-30 13:17:14,c4:7c:8d:6d:26:c9,27.55,61.26,982.64,83.45
2025-04-30 13:07:14,c4:7c:8d:6d:26:c9,28.17,62.72,971.75,86.08
2025-04-30 12:57:14,c4:7c:8d:6d:26:c9,27.29,63.7,970.02,88.17
2025-04-30 12:47:14,c4:7c:8d:6d:26:c9,26.25,62.47,989.56,82.92
2025-04-30 12:37:14,c4:7c:8d:6d:26:c9,28.13,64.49,990.57,83.99
2025-04-30 12:27:14,c4:7c:8d:6d:26:c9,26.85,62.44,1007.92,87.52
2025-04-30 12:17:14,c4:7c:8d:6d:26:c9,28.2,63.58,989.52,88.19
2025-04-30 12:07:14,c4:7c:8d:6d:26:c9,28.45,64.36,1046.93,86.15
2025-04-30 11:57:14,c4:7c:8d:6d:26:c9,28.84,63.29,1042.63,89.02
2025-04-30 11:47:14,c4:7c:8d:6d:26:c9,27.04,63.76,1017.84,86.44
2025-04-30 11:37:14,c4:7c:8d:6d:26:c9,27.46,65.47,981.94,87.1
2025-04-30 11:27:14,c4:7c:8d:6d:26:c9,28.08,63.48,1025.84,89.6
2025-04-30 11:17:14,c4:7c:8d:6d:26:c9,26.65,63.44,987.97,88.85
2025-04-30 11:07:14,c4:7c:8d:6d:26:c9,26.92,66.11,992.85,84.83
2025-04-30 10:57:14,c4:7c:8d:6d:26:c9,28.97,66.01,950.25,90.63
2025-04-30 10:47:14,c4:7c:8d:6d:26:c9,28.92,63.82,962.49,90.83
2025-04-30 10:37:14,c4:7c:8d:6d:26:c9,27.43,66.22,951.44,90.54
2025-04-30 10:27:14,c4:7c:8d:6d:26:c9,27.07,64.99,906.09,86.18
2025-04-30 10:17:14,c4:7c:8d:6d:26:c9,28.68,63.62,908.77,90.12
2025-04-30 10:07:14,c4:7c:8d:6d:26:c9,27.57,66.9,931.0,88.37
2025-04-30 09:57:14,c4:7c:8d:6d:26:c9,29.18,64.48,909.71,91.59
2025-04-30 09:47:14,c4:7c:8d:6d:26:c9,28.71,63.92,863.0,87.71
2025-04-30 09:37:14,c4:7c:8d:6d:26:c9,27.8,65.55,830.46,88.89
2025-04-30 09:27:14,c4:7c:8d:6d:26:c9,29.35,64.24,808.78,89.26
2025-04-30 09:17:14,c4:7c:8d:6d:26:c9,28.52,66.09,797.17,89.92
2025-04-30 09:07:14,c4:7c:8d:6d:26:c9,27.87,67.41,818.55,86.22
2025-04-30 08:57:14,c4:7c:8d:6d:26:c9,28.54,65.39,786.39,89.68
2025-04-30 08:47:14,c4:7c:8d:6d:26:c9,27.24,66.63,726.21,89.78
2025-04-30 08:37:14,c4:7c:8d:6d:26:c9,27.45,64.92,743.21,87.37
2025-04-30 08:27:14,c4:7c:8d:6d:26:c9,28.47,65.28,712.35,87.86
2025-04-30 08:17:14,c4:7c:8d:6d:26:c9,27.5,65.11,705.68,87.85
2025-04-30 08:07:14,c4:7c:8d:6d:26:c9,27.33,67.64,686.68,88.04
2025-04-30 07:57:14,c4:7c:8d:6d:26:c9,28.75,66.65,653.5,91.28
2025-04-30 07:47:14,c4:7c:8d:6d:26:c9,29.43,66.36,640.11,89.38
2025-04-30 07:37:14,c4:7c:8d:6d:26:c9,27.14,65.94,617.91,88.46
2025-04-30 07:27:14,c4:7c:8d:6d:26:c9,29.08,67.69,595.82,90.47
2025-04-30 07:17:14,c4:7c:8d:6d:26:c9,27.54,66.38,608.25,87.66
2025-04-30 07:07:14,c4:7c:8d:6d:26:c9,28.76,65.73,572.82,88.7
2025-04-30 06:57:14,c4:7c:8d:6d:26:c9,27.62,67.85,560.44,87.92
2025-04-30 06:47:14,c4:7c:8d:6d:26:c9,28.53,68.4,575.34,88.82
2025-04-30 06:37:14,c4:7c:8d:6d:26:c9,27.01,69.04,570.31,88.37
2025-04-30 06:27:14,c4:7c:8d:6d:26:c9,28.95,68.43,537.71,84.33
2025-04-30 06:17:14,c4:7c:8d:6d:26:c9,27.61,67.72,544.89,89.33
2025-04-30 06:07:14,c4:7c:8d:6d:26:c9,27.74,68.47,547.93,88.87
2025-04-30 05:57:14,c4:7c:8d:6d:26:c9,26.8,69.05,570.43,85.31
2025-04-30 05:47:14,c4:7c:8d:6d:26:c9,26.78,69.0,543.71,87.91
2025-04-30 05:37:14,c4:7c:8d:6d:26:c9,27.49,68.64,543.39,83.9
2025-04-30 05:27:14,c4:7c:8d:6d:26:c9,26.64,67.21,568.9,85.13
2025-04-30 05:17:14,c4:7c:8d:6d:26:c9,27.94,66.72,585.78,82.47
2025-04-30 05:07:14,c4:7c:8d:6d:26:c9,27.04,68.58,573.07,87.47
2025-04-30 04:57:14,c4:7c:8d:6d:26:c9,28.4,68.88,598.45,87.18
2025-04-30 04:47:14,c4:7c:8d:6d:26:c9,27.2,67.5,643.42,83.01
2025-04-30 04:37:14,c4:7c:8d:6d:26:c9,27.91,69.43,609.33,86.32
2025-04-30 04:27:14,c4:7c:8d:6d:26:c9,27.04,66.58,618.26,82.06
2025-04-30 04:17:14,c4:7c:8d:6d:26:c9,25.76,69.82,678.91,83.95
2025-04-30 04:07:14,c4:7c:8d:6d:26:c9,26.77,68.98,700.83,85.27
2025-04-30 03:57:14,c4:7c:8d:6d:26:c9,26.49,68.73,689.42,82.98
2025-04-30 03:47:14,c4:7c:8d:6d:26:c9,26.78,67.8,677.2,80.4
2025-04-30 03:37:14,c4:7c:8d:6d:26:c9,27.42,68.81,759.4,82.57
2025-04-30 03:27:14,c4:7c:8d:6d:26:c9,25.99,67.82,742.73,81.55
2025-04-30 03:17:14,c4:7c:8d:6d:26:c9,27.4,69.49,792.35,81.83
2025-04-30 03:07:14,c4:7c:8d:6d:26:c9,25.39,68.2,818.72,81.41
2025-04-30 02:57:14,c4:7c:8d:6d:26:c9,25.41,68.94,805.74,79.38
2025-04-30 02:47:14,c4:7c:8d:6d:26:c9,26.42,69.43,855.43,83.64
2025-04-30 02:37:14,c4:7c:8d:6d:26:c9,24.88,67.83,834.12,77.25
2025-04-30 02:27:14,c4:7c:8d:6d:26:c9,26.04,69.48,854.78,79.87
2025-04-30 02:17:14,c4:7c:8d:6d:26:c9,24.91,69.69,856.15,79.0
2025-04-30 02:07:14,c4:7c:8d:6d:26:c9,25.6,68.1,886.59,77.87
2025-04-30 01:57:14,c4:7c:8d:6d:26:c9,26.23,67.59,953.97,78.85
2025-04-30 01:47:14,c4:7c:8d:6d:26:c9,25.95,68.35,959.89,75.32
2025-04-30 01:37:14,c4:7c:8d:6d:26:c9,25.64,67.42,979.81,80.61
2025-04-30 01:27:14,c4:7c:8d:6d:26:c9,25.97,68.62,998.93,79.2
2025-04-30 01:17:14,c4:7c:8d:6d:26:c9,25.39,68.85,974.05,79.98
2025-04-30 01:07:14,c4:7c:8d:6d:26:c9,23.81,67.53,1010.82,76.56
2025-04-30 00:57:14,c4:7c:8d:6d:26:c9,23.5,68.84,1005.12,79.47
2025-04-30 00:47:14,c4:7c:8d:6d:26:c9,24.54,69.48,979.88,74.8
2025-04-30 00:37:14,c4:7c:8d:6d:26:c9,23.65,66.61,984.4,76.44
2025-04-30 00:27:14,c4:7c:8d:6d:26:c9,23.69,68.21,1048.9,76.25
