Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-10 11:47:34,c4:7c:8d:6d:26:c9,25.41,35.08,7171.53,66.55
2025-04-10 11:37:34,c4:7c:8d:6d:26:c9,26.42,32.41,6178.81,71.05
2025-04-10 11:27:34,c4:7c:8d:6d:26:c9,24.08,29.11,2096.58,83.77
2025-04-10 11:17:34,c4:7c:8d:6d:26:c9,22.21,29.52,3329.05,68.83
2025-04-10 11:07:34,c4:7c:8d:6d:26:c9,23.07,30.91,4219.49,77.75
2025-04-10 10:57:34,c4:7c:8d:6d:26:c9,23.37,31.98,1184.17,76.28
2025-04-10 10:47:34,c4:7c:8d:6d:26:c9,27.29,30.25,2613.05,64.45
2025-04-10 10:37:34,c4:7c:8d:6d:26:c9,23.24,38.92,4268.62,63.61
2025-04-10 10:27:34,c4:7c:8d:6d:26:c9,26.49,27.55,1732.16,83.96
2025-04-10 10:17:34,c4:7c:8d:6d:26:c9,28.12,31.93,3742.92,72.7
2025-04-10 10:07:34,c4:7c:8d:6d:26:c9,27.19,27.92,6428.17,73.05
2025-04-10 09:57:34,c4:7c:8d:6d:26:c9,27.05,26.47,2056.74,79.29
2025-04-10 09:47:34,c4:7c:8d:6d:26:c9,28.78,25.95,4368.22,65.51
2025-04-10 09:37:34,c4:7c:8d:6d:26:c9,24.68,33.05,4155.65,81.52
2025-04-10 09:27:34,c4:7c:8d:6d:26:c9,26.92,37.72,5772.23,69.46
2025-04-10 09:17:34,c4:7c:8d:6d:26:c9,25.14,26.45,2789.53,76.98
2025-04-10 09:07:34,c4:7c:8d:6d:26:c9,24.27,34.47,2248.24,80.23
2025-04-10 08:57:34,c4:7c:8d:6d:26:c9,22.98,27.26,4358.93,71.68
2025-04-10 08:47:34,c4:7c:8d:6d:26:c9,25.32,29.79,3961.1,76.23
2025-04-10 08:37:34,c4:7c:8d:6d:26:c9,27.64,39.3,3484.52,79.17
2025-04-10 08:27:34,c4:7c:8d:6d:26:c9,27.16,31.89,6208.56,79.96
2025-04-10 08:17:34,c4:7c:8d:6d:26:c9,27.27,32.93,1735.27,80.82
2025-04-10 08:07:34,c4:7c:8d:6d:26:c9,25.14,36.63,6476.38,66.87
2025-04-10 07:57:34,c4:7c:8d:6d:26:c9,24.9,26.49,3147.39,73.71
2025-04-10 07:47:34,c4:7c:8d:6d:26:c9,26.6,26.96,7084.44,77.35
2025-04-10 07:37:34,c4:7c:8d:6d:26:c9,28.41,34.58,4707.05,80.63
2025-04-10 07:27:34,c4:7c:8d:6d:26:c9,29.04,40.76,5056.61,64.06
2025-04-10 07:17:34,c4:7c:8d:6d:26:c9,23.04,26.97,3966.8,84.95
2025-04-10 07:07:34,c4:7c:8d:6d:26:c9,24.46,40.53,6461.17,76.24
2025-04-10 06:57:34,c4:7c:8d:6d:26:c9,23.89,33.08,3749.63,67.81
2025-04-10 06:47:34,c4:7c:8d:6d:26:c9,24.06,39.26,3637.98,66.11
2025-04-10 06:37:34,c4:7c:8d:6d:26:c9,29.52,33.35,5545.07,71.07
2025-04-10 06:27:34,c4:7c:8d:6d:26:c9,25.95,39.76,3135.68,66.18
2025-04-10 06:17:34,c4:7c:8d:6d:26:c9,29.22,29.49,7420.45,75.81
2025-04-10 06:07:34,c4:7c:8d:6d:26:c9,26.56,31.6,7229.38,74.63
2025-04-10 05:57:34,c4:7c:8d:6d:26:c9,27.99,38.56,2372.78,67.97
2025-04-10 05:47:34,c4:7c:8d:6d:26:c9,22.94,34.18,3242.02,68.54
2025-04-10 05:37:34,c4:7c:8d:6d:26:c9,29.38,27.53,1026.45,86.52
2025-04-10 05:27:34,c4:7c:8d:6d:26:c9,26.87,39.89,1791.16,84.74
2025-04-10 05:17:34,c4:7c:8d:6d:26:c9,25.92,34.95,6382.67,83.2
2025-04-10 05:07:34,c4:7c:8d:6d:26:c9,27.99,27.22,5740.19,77.84
2025-04-10 04:57:34,c4:7c:8d:6d:26:c9,27.47,37.55,5424.44,74.79
2025-04-10 04:47:34,c4:7c:8d:6d:26:c9,23.34,37.99,3055.02,82.37
2025-04-10 04:37:34,c4:7c:8d:6d:26:c9,24.34,28.79,3128.01,86.35
2025-04-10 04:27:34,c4:7c:8d:6d:26:c9,26.85,38.4,2105.01,64.83
2025-04-10 04:17:34,c4:7c:8d:6d:26:c9,22.95,36.4,361.82,73.92
2025-04-10 04:07:34,c4:7c:8d:6d:26:c9,23.79,36.46,325.31,71.22
2025-04-10 03:57:34,c4:7c:8d:6d:26:c9,26.03,35.67,4164.92,65.34
2025-04-10 03:47:34,c4:7c:8d:6d:26:c9,22.71,36.84,2560.05,82.43
2025-04-10 03:37:34,c4:7c:8d:6d:26:c9,24.16,39.54,3012.03,65.15
2025-04-10 03:27:34,c4:7c:8d:6d:26:c9,26.51,41.73,2096.66,67.38
2025-04-10 03:17:34,c4:7c:8d:6d:26:c9,24.38,35.96,3116.41,75.86
2025-04-10 03:07:34,c4:7c:8d:6d:26:c9,24.84,36.61,3213.7,81.47
2025-04-10 02:57:34,c4:7c:8d:6d:26:c9,26.14,37.32,2048.31,79.09
2025-04-10 02:47:34,c4:7c:8d:6d:26:c9,26.8,29.37,1278.98,74.26
2025-04-10 02:37:34,c4:7c:8d:6d:26:c9,23.03,28.59,5894.2,81.24
2025-04-10 02:27:34,c4:7c:8d:6d:26:c9,22.98,28.21,3612.82,85.52
2025-04-10 02:17:34,c4:7c:8d:6d:26:c9,23.43,37.46,1678.24,69.44
2025-04-10 02:07:34,c4:7c:8d:6d:26:c9,28.61,33.96,4689.73,83.04
