Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-05-21 20:08:39,c4:7c:8d:6d:24:9e,23.2,3,86,0
2025-05-21 20:08:43,c4:7c:8d:6d:28:fa,9.3,42,177,2055
2025-05-21 20:08:47,c4:7c:8d:6d:4e:df,9.6,50,131,2355
2025-05-21 20:08:52,c4:7c:8d:6d:26:c9,9.6,27,150,1600
2025-05-21 20:19:16,c4:7c:8d:6d:24:9e,23.2,3,89,0
2025-05-21 20:19:23,c4:7c:8d:6d:4e:df,9.2,50,89,2358
2025-05-21 20:29:47,c4:7c:8d:6d:24:9e,23.3,3,50,0
2025-05-21 20:29:49,c4:7c:8d:6d:28:fa,8.9,42,193,2039
2025-05-21 20:29:57,c4:7c:8d:6d:4e:df,9.2,49,0,2320
2025-05-21 20:30:00,c4:7c:8d:6d:26:c9,9.3,27,0,1585
2025-05-21 20:40:27,c4:7c:8d:6d:24:9e,23.4,3,87,0
2025-05-21 20:40:30,c4:7c:8d:6d:28:fa,8.9,42,177,2018
2025-05-21 20:40:34,c4:7c:8d:6d:4e:df,9.2,49,128,2305
2025-05-21 20:40:38,c4:7c:8d:6d:26:c9,9.2,27,220,1564
2025-05-21 20:51:02,c4:7c:8d:6d:24:9e,23.4,4,87,0
2025-05-21 20:51:05,c4:7c:8d:6d:28:fa,8.8,42,110,2020
2025-05-21 20:51:10,c4:7c:8d:6d:26:c9,9.0,27,56,1564
2025-05-21 21:01:35,c4:7c:8d:6d:24:9e,23.4,4,68,0
2025-05-21 21:01:38,c4:7c:8d:6d:28:fa,8.8,41,193,1995
2025-05-21 21:01:41,c4:7c:8d:6d:4e:df,9.1,49,65,2261
2025-05-21 21:01:45,c4:7c:8d:6d:26:c9,9.1,26,222,1557
2025-05-21 21:12:13,c4:7c:8d:6d:24:9e,23.3,4,11,0
2025-05-21 21:12:16,c4:7c:8d:6d:28:fa,8.8,41,224,2015
2025-05-21 21:12:19,c4:7c:8d:6d:26:c9,9.0,26,14,1545
2025-05-21 21:22:45,c4:7c:8d:6d:24:9e,23.3,4,89,0
2025-05-21 21:22:48,c4:7c:8d:6d:28:fa,8.6,41,193,1979
2025-05-21 21:23:00,c4:7c:8d:6d:4e:df,8.8,48,132,2261
2025-05-21 21:33:26,c4:7c:8d:6d:24:9e,23.3,4,13,0
2025-05-21 21:33:30,c4:7c:8d:6d:4e:df,8.7,48,108,2207
2025-05-21 21:33:50,c4:7c:8d:6d:26:c9,8.7,26,0,1538
2025-05-21 21:44:16,c4:7c:8d:6d:24:9e,23.6,4,87,0
2025-05-21 21:44:18,c4:7c:8d:6d:28:fa,8.6,41,178,1981
2025-05-21 21:54:44,c4:7c:8d:6d:24:9e,23.6,4,86,0
2025-05-21 21:54:47,c4:7c:8d:6d:28:fa,8.6,41,193,1999
2025-05-21 21:54:54,c4:7c:8d:6d:4e:df,9.0,48,0,2207
2025-05-21 22:05:29,c4:7c:8d:6d:24:9e,23.7,4,105,0
2025-05-21 22:05:32,c4:7c:8d:6d:28:fa,8.6,41,162,1970
2025-05-21 22:05:37,c4:7c:8d:6d:4e:df,9.0,48,45,2196
2025-05-21 22:16:08,c4:7c:8d:6d:24:9e,23.9,4,48,0
2025-05-21 22:16:11,c4:7c:8d:6d:28:fa,8.7,41,193,1981
2025-05-21 22:16:14,c4:7c:8d:6d:4e:df,8.8,48,108,2184
2025-05-21 22:16:19,c4:7c:8d:6d:26:c9,8.9,25,221,1493
2025-05-21 22:26:47,c4:7c:8d:6d:24:9e,24.2,4,0,0
2025-05-21 22:26:50,c4:7c:8d:6d:4e:df,8.9,48,112,2210
2025-05-21 22:37:36,c4:7c:8d:6d:24:9e,24.3,4,86,0
2025-05-21 22:37:50,c4:7c:8d:6d:26:c9,8.9,25,207,1514
2025-05-21 22:48:17,c4:7c:8d:6d:24:9e,24.3,4,0,0
2025-05-21 22:48:20,c4:7c:8d:6d:28:fa,8.5,41,207,1951
2025-05-21 22:48:31,c4:7c:8d:6d:26:c9,8.6,25,203,1503
2025-05-21 22:58:56,c4:7c:8d:6d:24:9e,24.4,4,86,0
2025-05-21 22:58:59,c4:7c:8d:6d:28:fa,8.5,41,224,1954
2025-05-21 22:59:12,c4:7c:8d:6d:26:c9,8.8,25,170,1483
2025-05-21 23:09:38,c4:7c:8d:6d:24:9e,24.4,4,0,0
2025-05-21 23:09:41,c4:7c:8d:6d:28:fa,8.5,41,69,1954
2025-05-21 23:09:48,c4:7c:8d:6d:26:c9,8.7,25,222,1493
2025-05-21 23:20:15,c4:7c:8d:6d:24:9e,24.5,4,69,0
