,Timestamp,MAC,Temperature,Moisture,Light,Conductivity
0,2025-03-22 16:11:04,c4:7c:8d:6d:4e:df,25.3,11,99,123
1,2025-03-22 16:11:07,c4:7c:8d:6d:26:c9,24.9,16,238,170
2,2025-03-22 16:11:10,c4:7c:8d:6d:28:fa,25.2,12,335,432
3,2025-03-22 16:11:15,c4:7c:8d:6d:24:ed,25.0,21,50,137
4,2025-03-22 16:17:33,c4:7c:8d:6d:4e:df,25.5,11,0,124
5,2025-03-22 16:17:37,c4:7c:8d:6d:26:c9,25.1,16,220,167
6,2025-03-22 16:17:42,c4:7c:8d:6d:28:fa,25.4,12,382,462
7,2025-03-22 16:17:46,c4:7c:8d:6d:24:ed,24.9,21,102,139
8,2025-03-22 16:28:12,c4:7c:8d:6d:4e:df,25.5,12,134,123
9,2025-03-22 16:28:17,c4:7c:8d:6d:26:c9,25.2,16,203,170
10,2025-03-22 16:28:19,c4:7c:8d:6d:28:fa,25.3,12,262,498
11,2025-03-22 16:28:22,c4:7c:8d:6d:24:ed,24.9,21,86,140
12,2025-03-22 16:38:45,c4:7c:8d:6d:4e:df,25.5,11,74,125
13,2025-03-22 16:38:48,c4:7c:8d:6d:26:c9,25.3,16,104,170
14,2025-03-22 16:38:51,c4:7c:8d:6d:28:fa,25.4,12,352,535
15,2025-03-22 16:38:56,c4:7c:8d:6d:24:ed,25.0,22,4,140
16,2025-03-22 16:49:19,c4:7c:8d:6d:4e:df,25.5,12,118,126
17,2025-03-22 16:49:22,c4:7c:8d:6d:26:c9,25.3,16,236,169
18,2025-03-22 16:49:24,c4:7c:8d:6d:28:fa,25.4,12,132,562
19,2025-03-22 16:49:27,c4:7c:8d:6d:24:ed,25.0,22,105,143
20,2025-03-22 16:59:51,c4:7c:8d:6d:4e:df,25.5,12,55,125
21,2025-03-22 16:59:54,c4:7c:8d:6d:26:c9,25.3,16,138,172
22,2025-03-22 16:59:56,c4:7c:8d:6d:28:fa,25.4,12,355,589
23,2025-03-22 16:59:59,c4:7c:8d:6d:24:ed,25.1,22,68,143
24,2025-03-22 17:10:22,c4:7c:8d:6d:4e:df,25.5,12,134,125
25,2025-03-22 17:10:25,c4:7c:8d:6d:26:c9,25.3,16,221,138
26,2025-03-22 17:10:27,c4:7c:8d:6d:28:fa,25.4,12,147,615
27,2025-03-22 17:10:31,c4:7c:8d:6d:24:ed,25.2,22,45,130
28,2025-03-22 17:20:56,c4:7c:8d:6d:4e:df,21.8,18,56,97
29,2025-03-22 17:20:59,c4:7c:8d:6d:26:c9,25.3,21,120,131
30,2025-03-22 17:21:01,c4:7c:8d:6d:28:fa,21.7,16,355,595
31,2025-03-22 17:21:04,c4:7c:8d:6d:24:ed,25.2,100,45,3248
32,2025-03-22 17:31:27,c4:7c:8d:6d:4e:df,24.3,21,135,86
33,2025-03-22 17:31:30,c4:7c:8d:6d:26:c9,25.1,21,205,135
34,2025-03-22 17:31:33,c4:7c:8d:6d:28:fa,24.2,23,177,975
35,2025-03-22 17:31:37,c4:7c:8d:6d:24:ed,25.1,100,22,3868
36,2025-03-22 17:42:01,c4:7c:8d:6d:4e:df,24.8,22,74,85
37,2025-03-22 17:42:09,c4:7c:8d:6d:28:fa,24.4,23,355,1090
38,2025-03-22 17:42:13,c4:7c:8d:6d:24:ed,25.0,100,29,3748
39,2025-03-22 17:52:36,c4:7c:8d:6d:4e:df,25.1,22,97,86
40,2025-03-22 17:52:39,c4:7c:8d:6d:26:c9,25.1,21,100,137
41,2025-03-22 17:52:43,c4:7c:8d:6d:28:fa,24.4,23,120,1154
42,2025-03-22 17:52:47,c4:7c:8d:6d:24:ed,25.0,100,26,3581
43,2025-03-22 18:03:10,c4:7c:8d:6d:4e:df,25.1,22,115,86
44,2025-03-22 18:03:14,c4:7c:8d:6d:26:c9,25.0,21,205,137
45,2025-03-22 18:03:16,c4:7c:8d:6d:28:fa,24.5,23,308,1197
46,2025-03-22 18:03:19,c4:7c:8d:6d:24:ed,25.1,100,45,3548
47,2025-03-22 18:13:42,c4:7c:8d:6d:4e:df,25.0,23,118,88
