Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-08 20:08:31,c4:7c:8d:6d:26:c9,25.6,24,186,82
2025-04-08 19:56:16,c4:7c:8d:6d:26:c9,25.4,24,237,81
2025-04-08 19:46:30,c4:7c:8d:6d:26:c9,25.3,24,139,83
2025-04-08 19:35:18,c4:7c:8d:6d:26:c9,25.3,24,205,81
2025-04-08 19:24:06,c4:7c:8d:6d:26:c9,25.7,24,139,82
2025-04-08 19:12:57,c4:7c:8d:6d:26:c9,25.6,24,205,82
2025-04-08 19:01:45,c4:7c:8d:6d:26:c9,25.5,24,171,82
2025-04-08 18:50:35,c4:7c:8d:6d:26:c9,25.4,24,237,82
2025-04-08 18:39:24,c4:7c:8d:6d:26:c9,25.2,24,139,83
2025-04-08 18:05:48,c4:7c:8d:6d:26:c9,25.1,24,236,82
2025-04-08 17:43:25,c4:7c:8d:6d:26:c9,25.9,24,1920,80
2025-04-08 17:32:15,c4:7c:8d:6d:26:c9,26.2,24,1947,81
2025-04-08 17:09:54,c4:7c:8d:6d:26:c9,27.4,24,1931,79
2025-04-08 16:58:42,c4:7c:8d:6d:26:c9,27.5,25,9512,77
2025-04-08 16:36:16,c4:7c:8d:6d:26:c9,27.2,24,9475,78
2025-04-08 16:25:07,c4:7c:8d:6d:26:c9,27.0,24,9523,75
2025-04-08 16:13:53,c4:7c:8d:6d:26:c9,26.8,24,9475,76
2025-04-08 16:02:39,c4:7c:8d:6d:26:c9,26.8,24,9523,76
2025-04-08 15:51:25,c4:7c:8d:6d:26:c9,26.6,24,9512,76
2025-04-08 15:28:54,c4:7c:8d:6d:26:c9,26.2,24,9520,76
2025-04-08 15:26:06,c4:7c:8d:6d:26:c9,26.0,24,9510,76
2025-04-08 15:24:21,c4:7c:8d:6d:26:c9,25.9,24,9520,76
2025-04-08 15:22:41,c4:7c:8d:6d:26:c9,25.8,24,9508,75
2025-04-08 15:20:56,c4:7c:8d:6d:26:c9,25.7,24,9472,77
2025-04-08 15:19:14,c4:7c:8d:6d:26:c9,25.5,24,9520,76
2025-04-08 15:17:34,c4:7c:8d:6d:26:c9,25.3,24,9508,76
2025-04-08 15:15:53,c4:7c:8d:6d:26:c9,25.2,24,9508,76
2025-04-08 15:14:11,c4:7c:8d:6d:26:c9,25.0,24,9467,77
