,Timestamp,MAC,Temperature,Moisture,Light,Conductivity
0,2025-01-20 20:56:47,c4:7c:8d:6d:4e:df,22.2,23,105,133
1,2025-01-20 20:56:50,c4:7c:8d:6d:26:c9,23.0,4,186,0
2,2025-01-20 21:02:27,c4:7c:8d:6d:4e:df,22.2,23,82,133
3,2025-01-20 21:02:29,c4:7c:8d:6d:26:c9,23.0,4,215,0
4,2025-01-20 21:07:58,c4:7c:8d:6d:4e:df,22.0,23,65,133
5,2025-01-20 21:08:00,c4:7c:8d:6d:26:c9,23.0,4,152,0
6,2025-01-20 21:13:37,c4:7c:8d:6d:4e:df,22.0,23,26,133
7,2025-01-20 21:13:41,c4:7c:8d:6d:26:c9,23.0,4,186,0
8,2025-01-20 21:19:07,c4:7c:8d:6d:4e:df,21.9,23,84,133
9,2025-01-20 21:19:10,c4:7c:8d:6d:26:c9,23.0,4,215,0
10,2025-01-20 21:24:38,c4:7c:8d:6d:4e:df,22.1,23,47,135
11,2025-01-20 21:24:41,c4:7c:8d:6d:26:c9,23.0,4,170,0
12,2025-01-20 21:30:21,c4:7c:8d:6d:4e:df,22.0,23,84,133
13,2025-01-20 21:30:25,c4:7c:8d:6d:26:c9,23.1,3,248,0
14,2025-01-20 21:35:51,c4:7c:8d:6d:4e:df,22.1,23,43,133
15,2025-01-20 21:35:59,c4:7c:8d:6d:26:c9,23.0,3,215,0
16,2025-01-20 21:41:26,c4:7c:8d:6d:4e:df,21.9,23,82,133
17,2025-01-20 21:41:29,c4:7c:8d:6d:26:c9,23.0,3,199,0
18,2025-01-20 21:47:08,c4:7c:8d:6d:4e:df,21.9,23,26,133
19,2025-01-20 21:47:13,c4:7c:8d:6d:26:c9,23.0,3,136,0
20,2025-01-20 21:52:52,c4:7c:8d:6d:4e:df,21.9,23,66,131
21,2025-01-20 21:52:57,c4:7c:8d:6d:26:c9,22.9,3,138,0
22,2025-01-20 21:58:24,c4:7c:8d:6d:4e:df,22.0,23,43,133
23,2025-01-20 21:58:27,c4:7c:8d:6d:26:c9,23.0,4,202,0
24,2025-01-20 22:03:53,c4:7c:8d:6d:4e:df,22.0,23,84,133
25,2025-01-20 22:03:55,c4:7c:8d:6d:26:c9,23.0,3,217,0
26,2025-01-20 22:09:21,c4:7c:8d:6d:4e:df,22.1,23,22,131
27,2025-01-20 22:14:49,c4:7c:8d:6d:4e:df,22.1,23,105,133
28,2025-01-20 22:14:51,c4:7c:8d:6d:26:c9,23.0,3,217,0
29,2025-01-20 22:20:18,c4:7c:8d:6d:4e:df,22.0,23,22,132
30,2025-01-20 22:20:21,c4:7c:8d:6d:26:c9,23.0,3,215,0
31,2025-01-20 22:25:49,c4:7c:8d:6d:4e:df,21.9,23,48,131
32,2025-01-20 22:25:53,c4:7c:8d:6d:26:c9,23.0,3,168,0
33,2025-01-20 22:31:21,c4:7c:8d:6d:4e:df,22.0,23,0,132
34,2025-01-20 22:36:48,c4:7c:8d:6d:4e:df,21.9,23,86,132
35,2025-01-20 22:36:50,c4:7c:8d:6d:26:c9,23.0,3,248,0
36,2025-01-20 22:42:14,c4:7c:8d:6d:4e:df,22.0,23,0,132
37,2025-01-20 22:42:16,c4:7c:8d:6d:26:c9,22.9,3,170,0
38,2025-01-20 22:47:41,c4:7c:8d:6d:4e:df,21.9,23,68,132
39,2025-01-20 22:47:43,c4:7c:8d:6d:26:c9,23.0,3,217,0
40,2025-01-20 22:53:09,c4:7c:8d:6d:4e:df,21.8,23,43,132
41,2025-01-20 22:53:11,c4:7c:8d:6d:26:c9,22.9,3,168,0
42,2025-01-20 22:58:39,c4:7c:8d:6d:4e:df,22.0,23,68,132
43,2025-01-20 22:58:42,c4:7c:8d:6d:26:c9,23.0,4,217,0
44,2025-01-20 23:04:06,c4:7c:8d:6d:4e:df,21.9,22,4,131
45,2025-01-20 23:09:33,c4:7c:8d:6d:4e:df,21.8,22,68,130
46,2025-01-20 23:09:37,c4:7c:8d:6d:26:c9,22.8,3,215,0
47,2025-01-20 23:15:00,c4:7c:8d:6d:4e:df,21.9,22,4,132
48,2025-01-20 23:15:03,c4:7c:8d:6d:26:c9,22.8,3,138,0
49,2025-01-20 23:20:28,c4:7c:8d:6d:4e:df,22.0,22,102,131
50,2025-01-20 23:20:30,c4:7c:8d:6d:26:c9,23.0,3,215,0
51,2025-01-20 23:25:53,c4:7c:8d:6d:4e:df,21.9,22,6,131
52,2025-01-20 23:25:56,c4:7c:8d:6d:26:c9,22.8,3,138,0
53,2025-01-20 23:31:19,c4:7c:8d:6d:4e:df,21.9,23,87,130
54,2025-01-20 23:31:22,c4:7c:8d:6d:26:c9,22.8,3,217,0
55,2025-01-20 23:36:47,c4:7c:8d:6d:4e:df,21.8,22,26,132
56,2025-01-20 23:36:49,c4:7c:8d:6d:26:c9,22.9,3,249,0
57,2025-01-20 23:42:14,c4:7c:8d:6d:4e:df,21.7,22,84,128
58,2025-01-20 23:47:40,c4:7c:8d:6d:4e:df,21.9,22,22,130
59,2025-01-20 23:47:43,c4:7c:8d:6d:26:c9,22.9,3,215,0
60,2025-01-20 23:53:06,c4:7c:8d:6d:4e:df,22.1,22,102,128
61,2025-01-20 23:53:10,c4:7c:8d:6d:26:c9,23.0,3,215,0
62,2025-01-20 23:58:33,c4:7c:8d:6d:4e:df,22.0,22,4,128
63,2025-01-20 23:58:38,c4:7c:8d:6d:26:c9,23.0,3,232,0
64,2025-01-21 00:04:02,c4:7c:8d:6d:4e:df,22.1,22,86,130
65,2025-01-21 00:04:05,c4:7c:8d:6d:26:c9,23.0,3,249,0
66,2025-01-21 00:09:30,c4:7c:8d:6d:4e:df,22.0,22,26,128
67,2025-01-21 00:09:33,c4:7c:8d:6d:26:c9,23.0,3,202,0
68,2025-01-21 00:14:57,c4:7c:8d:6d:4e:df,21.9,22,105,128
69,2025-01-21 00:15:00,c4:7c:8d:6d:26:c9,23.0,3,249,0
70,2025-01-21 00:20:24,c4:7c:8d:6d:4e:df,22.0,22,24,131
71,2025-01-21 00:20:27,c4:7c:8d:6d:26:c9,23.0,3,215,0
72,2025-01-21 00:25:51,c4:7c:8d:6d:4e:df,22.0,22,86,128
73,2025-01-21 00:31:17,c4:7c:8d:6d:4e:df,22.0,22,45,128
74,2025-01-21 00:31:20,c4:7c:8d:6d:26:c9,23.1,3,248,0
75,2025-01-21 00:36:44,c4:7c:8d:6d:4e:df,22.1,22,105,128
76,2025-01-21 00:36:47,c4:7c:8d:6d:26:c9,23.1,3,199,0
77,2025-01-21 00:42:11,c4:7c:8d:6d:4e:df,22.0,22,45,130
78,2025-01-21 00:42:14,c4:7c:8d:6d:26:c9,23.1,3,215,0
79,2025-01-21 00:47:38,c4:7c:8d:6d:4e:df,22.0,22,66,128
80,2025-01-21 00:47:41,c4:7c:8d:6d:26:c9,23.1,3,233,0
81,2025-01-21 00:53:05,c4:7c:8d:6d:4e:df,22.0,22,22,128
82,2025-01-21 00:53:08,c4:7c:8d:6d:26:c9,23.1,4,138,0
83,2025-01-21 00:58:31,c4:7c:8d:6d:4e:df,22.1,22,84,125
84,2025-01-21 00:58:34,c4:7c:8d:6d:26:c9,23.0,3,215,0
85,2025-01-21 01:04:00,c4:7c:8d:6d:4e:df,22.0,22,6,128
86,2025-01-21 01:04:03,c4:7c:8d:6d:26:c9,23.1,3,248,0
87,2025-01-21 01:09:27,c4:7c:8d:6d:4e:df,22.0,22,48,125
88,2025-01-21 01:09:30,c4:7c:8d:6d:26:c9,23.2,3,217,0
89,2025-01-21 01:14:54,c4:7c:8d:6d:4e:df,22.0,22,8,128
90,2025-01-21 01:14:57,c4:7c:8d:6d:26:c9,23.2,3,217,0
91,2025-01-21 01:20:20,c4:7c:8d:6d:4e:df,22.0,22,86,128
92,2025-01-21 01:20:23,c4:7c:8d:6d:26:c9,23.1,3,136,0
93,2025-01-21 01:25:48,c4:7c:8d:6d:4e:df,22.0,22,45,127
94,2025-01-21 01:25:51,c4:7c:8d:6d:26:c9,23.2,3,215,0
95,2025-01-21 01:31:14,c4:7c:8d:6d:4e:df,22.1,22,105,128
96,2025-01-21 01:31:17,c4:7c:8d:6d:26:c9,23.1,4,199,0
97,2025-01-21 01:36:41,c4:7c:8d:6d:4e:df,22.0,22,24,125
98,2025-01-21 01:36:44,c4:7c:8d:6d:26:c9,23.2,3,232,0
99,2025-01-21 01:42:09,c4:7c:8d:6d:4e:df,22.1,22,86,126
100,2025-01-21 01:42:12,c4:7c:8d:6d:26:c9,23.2,3,138,0
101,2025-01-21 01:47:36,c4:7c:8d:6d:4e:df,21.9,22,6,126
102,2025-01-21 01:47:39,c4:7c:8d:6d:26:c9,23.2,3,232,0
103,2025-01-21 01:53:03,c4:7c:8d:6d:4e:df,22.0,22,84,126
104,2025-01-21 01:53:06,c4:7c:8d:6d:26:c9,23.2,3,215,0
105,2025-01-21 01:58:30,c4:7c:8d:6d:4e:df,22.0,22,6,126
106,2025-01-21 01:58:33,c4:7c:8d:6d:26:c9,23.2,3,217,0
107,2025-01-21 02:03:56,c4:7c:8d:6d:4e:df,22.0,22,84,126
108,2025-01-21 02:03:59,c4:7c:8d:6d:26:c9,23.2,3,138,0
109,2025-01-21 02:09:22,c4:7c:8d:6d:4e:df,22.0,22,6,127
110,2025-01-21 02:09:25,c4:7c:8d:6d:26:c9,23.2,3,215,0
111,2025-01-21 02:14:49,c4:7c:8d:6d:4e:df,22.0,22,86,126
112,2025-01-21 02:14:52,c4:7c:8d:6d:26:c9,23.2,4,215,0
113,2025-01-21 02:20:16,c4:7c:8d:6d:4e:df,22.2,22,0,126
114,2025-01-21 02:20:19,c4:7c:8d:6d:26:c9,23.2,3,248,0
115,2025-01-21 02:25:43,c4:7c:8d:6d:4e:df,22.2,22,68,126
116,2025-01-21 02:31:11,c4:7c:8d:6d:4e:df,22.1,22,6,126
117,2025-01-21 02:31:14,c4:7c:8d:6d:26:c9,23.2,3,265,0
118,2025-01-21 02:36:40,c4:7c:8d:6d:4e:df,22.1,22,87,126
119,2025-01-21 02:36:43,c4:7c:8d:6d:26:c9,23.2,3,168,0
120,2025-01-21 02:42:08,c4:7c:8d:6d:4e:df,22.0,22,6,124
121,2025-01-21 02:42:11,c4:7c:8d:6d:26:c9,23.2,3,230,0
122,2025-01-21 02:47:34,c4:7c:8d:6d:4e:df,22.0,22,84,126
123,2025-01-21 02:47:37,c4:7c:8d:6d:26:c9,23.2,3,199,0
124,2025-01-21 02:53:03,c4:7c:8d:6d:4e:df,22.0,22,6,126
