Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-16 12:13:10,c4:7c:8d:6d:26:c9,0.63,2.26,7.3,1.31
2025-04-16 12:03:10,c4:7c:8d:6d:26:c9,0.68,2.45,14.62,1.07
2025-04-16 11:53:10,c4:7c:8d:6d:26:c9,0.49,1.5,10.55,0.82
2025-04-16 11:43:10,c4:7c:8d:6d:26:c9,0.53,2.16,14.72,1.3
2025-04-16 11:33:10,c4:7c:8d:6d:26:c9,0.32,2.65,7.37,0.65
2025-04-16 11:23:10,c4:7c:8d:6d:26:c9,0.44,2.4,10.68,1.28
2025-04-16 11:13:10,c4:7c:8d:6d:26:c9,0.54,2.07,5.26,0.58
2025-04-16 11:03:10,c4:7c:8d:6d:26:c9,0.3,2.37,11.28,0.61
2025-04-16 10:53:10,c4:7c:8d:6d:26:c9,0.3,1.46,8.83,1.02
2025-04-16 10:43:10,c4:7c:8d:6d:26:c9,0.49,1.42,5.09,0.53
2025-04-16 10:33:10,c4:7c:8d:6d:26:c9,0.67,2.53,7.0,0.61
2025-04-16 10:23:10,c4:7c:8d:6d:26:c9,0.66,2.35,6.85,0.65
2025-04-16 10:13:10,c4:7c:8d:6d:26:c9,0.38,2.96,6.06,1.16
2025-04-16 10:03:10,c4:7c:8d:6d:26:c9,0.32,2.18,6.94,1.15
2025-04-16 09:53:10,c4:7c:8d:6d:26:c9,0.49,2.18,7.15,1.03
2025-04-16 09:43:10,c4:7c:8d:6d:26:c9,0.36,2.43,10.42,1.05
2025-04-16 09:33:10,c4:7c:8d:6d:26:c9,0.5,1.45,14.65,1.42
2025-04-16 09:23:10,c4:7c:8d:6d:26:c9,0.62,2.81,5.72,0.75
2025-04-16 09:13:10,c4:7c:8d:6d:26:c9,0.66,2.66,10.03,1.39
2025-04-16 09:03:10,c4:7c:8d:6d:26:c9,0.43,2.8,11.42,1.34
2025-04-16 08:53:10,c4:7c:8d:6d:26:c9,0.31,2.34,6.03,0.54
2025-04-16 08:43:10,c4:7c:8d:6d:26:c9,0.66,2.68,13.57,1.21
2025-04-16 08:33:10,c4:7c:8d:6d:26:c9,0.44,2.92,10.22,0.66
2025-04-16 08:23:10,c4:7c:8d:6d:26:c9,0.34,2.74,5.48,0.76
2025-04-16 08:13:10,c4:7c:8d:6d:26:c9,0.34,2.36,6.04,1.4
2025-04-16 08:03:10,c4:7c:8d:6d:26:c9,0.38,1.29,5.83,1.27
2025-04-16 07:53:10,c4:7c:8d:6d:26:c9,0.58,2.38,8.63,0.89
2025-04-16 07:43:10,c4:7c:8d:6d:26:c9,0.57,2.45,11.76,0.99
2025-04-16 07:33:10,c4:7c:8d:6d:26:c9,0.43,2.31,14.53,0.82
2025-04-16 07:23:10,c4:7c:8d:6d:26:c9,0.36,1.42,8.81,0.87
2025-04-16 07:13:10,c4:7c:8d:6d:26:c9,0.59,1.07,11.04,0.8
2025-04-16 07:03:10,c4:7c:8d:6d:26:c9,0.62,2.22,8.45,0.7
2025-04-16 06:53:10,c4:7c:8d:6d:26:c9,0.34,1.86,5.68,1.07
2025-04-16 06:43:10,c4:7c:8d:6d:26:c9,0.43,2.98,9.4,1.27
2025-04-16 06:33:10,c4:7c:8d:6d:26:c9,0.46,2.97,13.32,1.17
2025-04-16 06:23:10,c4:7c:8d:6d:26:c9,0.46,2.59,13.71,1.3
2025-04-16 06:13:10,c4:7c:8d:6d:26:c9,0.6,1.57,7.15,0.92
2025-04-16 06:03:10,c4:7c:8d:6d:26:c9,0.54,1.22,8.1,0.82
2025-04-16 05:53:10,c4:7c:8d:6d:26:c9,0.38,1.05,7.56,1.38
2025-04-16 05:43:10,c4:7c:8d:6d:26:c9,0.35,2.53,7.93,0.71
2025-04-16 05:33:10,c4:7c:8d:6d:26:c9,0.31,1.3,11.11,1.4
2025-04-16 05:23:10,c4:7c:8d:6d:26:c9,0.5,1.51,11.81,1.04
2025-04-16 05:13:10,c4:7c:8d:6d:26:c9,0.62,1.66,9.31,1.31
2025-04-16 05:03:10,c4:7c:8d:6d:26:c9,0.54,2.7,11.7,1.04
2025-04-16 04:53:10,c4:7c:8d:6d:26:c9,0.4,1.5,8.81,0.91
2025-04-16 04:43:10,c4:7c:8d:6d:26:c9,0.58,2.64,6.74,0.8
2025-04-16 04:33:10,c4:7c:8d:6d:26:c9,0.31,2.03,12.42,1.16
2025-04-16 04:23:10,c4:7c:8d:6d:26:c9,0.61,1.76,14.51,0.98
2025-04-16 04:13:10,c4:7c:8d:6d:26:c9,0.67,1.59,7.64,0.7
2025-04-16 04:03:10,c4:7c:8d:6d:26:c9,0.36,2.49,9.69,1.47
2025-04-16 03:53:10,c4:7c:8d:6d:26:c9,0.32,1.57,14.02,0.91
2025-04-16 03:43:10,c4:7c:8d:6d:26:c9,0.42,2.9,8.45,1.43
2025-04-16 03:33:10,c4:7c:8d:6d:26:c9,0.48,2.88,11.16,1.23
2025-04-16 03:23:10,c4:7c:8d:6d:26:c9,0.48,2.1,7.5,1.47
2025-04-16 03:13:10,c4:7c:8d:6d:26:c9,0.48,2.91,8.7,0.6
2025-04-16 03:03:10,c4:7c:8d:6d:26:c9,0.69,2.64,8.86,0.82
2025-04-16 02:53:10,c4:7c:8d:6d:26:c9,0.67,1.36,7.03,1.1
2025-04-16 02:43:10,c4:7c:8d:6d:26:c9,0.44,1.63,11.84,1.3
2025-04-16 02:33:10,c4:7c:8d:6d:26:c9,0.42,2.12,11.81,1.12
2025-04-16 02:23:10,c4:7c:8d:6d:26:c9,0.44,2.95,11.64,0.92
2025-04-16 02:13:10,c4:7c:8d:6d:26:c9,0.33,2.81,9.42,0.86
2025-04-16 02:03:10,c4:7c:8d:6d:26:c9,0.65,2.66,5.19,1.02
2025-04-16 01:53:10,c4:7c:8d:6d:26:c9,0.66,2.67,13.65,1.15
2025-04-16 01:43:10,c4:7c:8d:6d:26:c9,0.36,1.5,14.26,0.88
2025-04-16 01:33:10,c4:7c:8d:6d:26:c9,0.47,2.01,7.17,1.46
2025-04-16 01:23:10,c4:7c:8d:6d:26:c9,0.53,2.11,13.66,1.46
2025-04-16 01:13:10,c4:7c:8d:6d:26:c9,0.55,1.12,14.11,0.58
2025-04-16 01:03:10,c4:7c:8d:6d:26:c9,0.49,1.53,6.77,0.78
2025-04-16 00:53:10,c4:7c:8d:6d:26:c9,0.34,2.76,12.42,1.13
2025-04-16 00:43:10,c4:7c:8d:6d:26:c9,0.63,1.88,13.06,1.05
2025-04-16 00:33:10,c4:7c:8d:6d:26:c9,0.37,1.53,13.67,0.52
2025-04-16 00:23:10,c4:7c:8d:6d:26:c9,0.37,2.54,13.58,0.89
2025-04-16 00:13:10,c4:7c:8d:6d:26:c9,0.44,1.81,6.39,1.49
2025-04-16 00:03:10,c4:7c:8d:6d:26:c9,0.67,1.8,12.84,1.3
2025-04-15 23:53:10,c4:7c:8d:6d:26:c9,0.33,2.69,5.09,0.67
2025-04-15 23:43:10,c4:7c:8d:6d:26:c9,0.5,1.82,6.98,1.49
2025-04-15 23:33:10,c4:7c:8d:6d:26:c9,0.44,2.5,9.47,0.94
2025-04-15 23:23:10,c4:7c:8d:6d:26:c9,0.31,2.62,14.21,1.07
2025-04-15 23:13:10,c4:7c:8d:6d:26:c9,0.56,2.11,7.98,1.22
2025-04-15 23:03:10,c4:7c:8d:6d:26:c9,0.59,1.52,5.8,1.12
2025-04-15 22:53:10,c4:7c:8d:6d:26:c9,0.59,1.48,6.62,0.84
2025-04-15 22:43:10,c4:7c:8d:6d:26:c9,0.68,2.87,7.0,0.89
2025-04-15 22:33:10,c4:7c:8d:6d:26:c9,0.32,1.34,8.56,0.89
2025-04-15 22:23:10,c4:7c:8d:6d:26:c9,0.66,2.05,14.53,0.81
2025-04-15 22:13:10,c4:7c:8d:6d:26:c9,0.69,2.12,12.05,0.53
2025-04-15 22:03:10,c4:7c:8d:6d:26:c9,0.49,2.95,10.41,1.01
2025-04-15 21:53:10,c4:7c:8d:6d:26:c9,0.5,2.86,5.3,0.55
