Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-12 15:19:46,c4:7c:8d:6d:26:c9,24.07,21.31,2326.17,75.47
2025-04-12 15:09:46,c4:7c:8d:6d:26:c9,24.9,22.52,1496.06,77.97
2025-04-12 14:59:46,c4:7c:8d:6d:26:c9,25.11,23.81,1258.04,75.33
2025-04-12 14:49:46,c4:7c:8d:6d:26:c9,25.43,23.9,1765.96,78.07
2025-04-12 14:39:46,c4:7c:8d:6d:26:c9,24.75,22.91,1564.07,76.1
2025-04-12 14:29:46,c4:7c:8d:6d:26:c9,24.58,24.57,1859.38,78.73
2025-04-12 14:19:46,c4:7c:8d:6d:26:c9,26.04,23.01,1282.88,78.47
2025-04-12 14:09:46,c4:7c:8d:6d:26:c9,24.47,21.2,2272.37,76.52
2025-04-12 13:59:46,c4:7c:8d:6d:26:c9,25.94,22.7,2730.69,80.0
2025-04-12 13:49:46,c4:7c:8d:6d:26:c9,26.15,23.23,2201.71,78.75
2025-04-12 13:39:46,c4:7c:8d:6d:26:c9,25.36,21.95,3036.17,77.35
2025-04-12 13:29:46,c4:7c:8d:6d:26:c9,24.93,24.23,2259.46,80.15
2025-04-12 13:19:46,c4:7c:8d:6d:26:c9,25.55,23.72,2897.17,80.39
2025-04-12 13:09:46,c4:7c:8d:6d:26:c9,25.48,23.48,2912.3,78.31
2025-04-12 12:59:46,c4:7c:8d:6d:26:c9,25.5,21.62,2238.27,81.02
2025-04-12 12:49:46,c4:7c:8d:6d:26:c9,25.63,23.24,2052.43,81.52
2025-04-12 12:39:46,c4:7c:8d:6d:26:c9,25.66,22.25,2793.72,79.7
2025-04-12 12:29:46,c4:7c:8d:6d:26:c9,26.28,22.28,1945.08,81.18
2025-04-12 12:19:46,c4:7c:8d:6d:26:c9,25.35,22.8,2580.84,80.91
2025-04-12 12:09:46,c4:7c:8d:6d:26:c9,25.49,23.32,1507.09,81.86
2025-04-12 11:59:46,c4:7c:8d:6d:26:c9,26.91,21.92,1479.17,80.88
2025-04-12 11:49:46,c4:7c:8d:6d:26:c9,25.37,25.45,1700.57,82.57
2025-04-12 11:39:46,c4:7c:8d:6d:26:c9,27.13,23.07,1760.21,81.79
2025-04-12 11:29:46,c4:7c:8d:6d:26:c9,26.15,22.48,2211.97,82.86
2025-04-12 11:19:46,c4:7c:8d:6d:26:c9,26.94,24.88,2444.32,80.48
2025-04-12 11:09:46,c4:7c:8d:6d:26:c9,25.81,23.19,2557.21,80.24
2025-04-12 10:59:46,c4:7c:8d:6d:26:c9,26.54,25.55,1292.47,82.41
2025-04-12 10:49:46,c4:7c:8d:6d:26:c9,27.08,23.32,2505.36,80.41
2025-04-12 10:39:46,c4:7c:8d:6d:26:c9,26.37,24.02,1773.13,82.48
2025-04-12 10:29:46,c4:7c:8d:6d:26:c9,27.03,26.13,1993.21,83.71
2025-04-12 10:19:46,c4:7c:8d:6d:26:c9,26.48,23.97,2853.86,81.89
2025-04-12 10:09:46,c4:7c:8d:6d:26:c9,26.02,23.84,2499.43,82.83
2025-04-12 09:59:46,c4:7c:8d:6d:26:c9,26.52,23.58,1164.05,82.7
2025-04-12 09:49:46,c4:7c:8d:6d:26:c9,27.52,26.55,1932.53,81.77
2025-04-12 09:39:46,c4:7c:8d:6d:26:c9,27.04,25.93,675.52,81.36
2025-04-12 09:29:46,c4:7c:8d:6d:26:c9,25.94,23.92,1094.0,83.96
2025-04-12 09:19:46,c4:7c:8d:6d:26:c9,26.34,26.6,1099.81,82.01
2025-04-12 09:09:46,c4:7c:8d:6d:26:c9,26.74,24.64,2175.32,83.33
2025-04-12 08:59:46,c4:7c:8d:6d:26:c9,25.78,26.5,800.43,83.91
2025-04-12 08:49:46,c4:7c:8d:6d:26:c9,26.43,26.75,458.58,83.85
2025-04-12 08:39:46,c4:7c:8d:6d:26:c9,26.66,25.92,1550.11,82.64
2025-04-12 08:29:46,c4:7c:8d:6d:26:c9,26.93,24.9,286.35,82.45
2025-04-12 08:19:46,c4:7c:8d:6d:26:c9,27.2,24.11,354.38,82.78
2025-04-12 08:09:46,c4:7c:8d:6d:26:c9,26.81,25.33,1179.54,82.56
2025-04-12 07:59:46,c4:7c:8d:6d:26:c9,27.07,26.02,1207.49,82.18
2025-04-12 07:49:46,c4:7c:8d:6d:26:c9,27.22,27.22,1928.94,81.21
2025-04-12 07:39:46,c4:7c:8d:6d:26:c9,25.78,25.17,261.99,82.13
2025-04-12 07:29:46,c4:7c:8d:6d:26:c9,27.08,23.74,652.88,81.13
2025-04-12 07:19:46,c4:7c:8d:6d:26:c9,25.91,25.75,-22.66,80.62
2025-04-12 07:09:46,c4:7c:8d:6d:26:c9,25.49,25.41,771.28,80.51
2025-04-12 06:59:46,c4:7c:8d:6d:26:c9,25.87,26.02,1633.5,82.03
2025-04-12 06:49:46,c4:7c:8d:6d:26:c9,27.04,24.23,1626.68,81.75
2025-04-12 06:39:46,c4:7c:8d:6d:26:c9,26.72,26.57,549.36,81.79
