Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-04 15:54:22,c4:7c:8d:6d:26:c9,29.6,38,9525,76
2025-04-04 16:04:59,c4:7c:8d:6d:26:c9,29.8,38,9489,76
2025-04-04 16:15:34,c4:7c:8d:6d:26:c9,29.8,38,9525,75
2025-04-04 16:26:06,c4:7c:8d:6d:26:c9,29.9,38,9515,75
2025-04-04 16:36:38,c4:7c:8d:6d:26:c9,30.1,38,9525,75
2025-04-04 16:47:10,c4:7c:8d:6d:26:c9,29.9,38,151,75
2025-04-04 16:57:44,c4:7c:8d:6d:26:c9,28.6,38,249,79
2025-04-04 17:08:19,c4:7c:8d:6d:26:c9,27.9,38,214,78
2025-04-04 17:18:51,c4:7c:8d:6d:26:c9,27.6,38,78,81
2025-04-04 17:29:24,c4:7c:8d:6d:26:c9,27.9,38,1956,81
2025-04-04 17:39:58,c4:7c:8d:6d:26:c9,28.0,38,1971,78
2025-04-04 17:50:30,c4:7c:8d:6d:26:c9,28.1,38,1857,78
2025-04-04 18:01:03,c4:7c:8d:6d:26:c9,28.1,38,1936,78
2025-04-04 18:11:38,c4:7c:8d:6d:26:c9,28.1,38,1807,78
2025-04-04 18:22:15,c4:7c:8d:6d:26:c9,28.1,38,248,80
2025-04-04 18:32:47,c4:7c:8d:6d:26:c9,27.6,38,118,79
2025-04-04 18:43:22,c4:7c:8d:6d:26:c9,27.3,37,233,79
2025-04-04 18:53:55,c4:7c:8d:6d:26:c9,27.1,37,135,80
2025-04-04 19:04:29,c4:7c:8d:6d:26:c9,26.9,37,232,80
2025-04-04 19:15:06,c4:7c:8d:6d:26:c9,26.8,37,136,81
2025-04-04 19:25:41,c4:7c:8d:6d:26:c9,26.6,37,215,81
2025-04-04 19:36:16,c4:7c:8d:6d:26:c9,26.5,37,120,81
2025-04-04 19:46:49,c4:7c:8d:6d:26:c9,26.4,37,215,81
2025-04-04 19:57:23,c4:7c:8d:6d:26:c9,26.4,37,100,81
2025-04-04 20:08:00,c4:7c:8d:6d:26:c9,26.2,37,248,81
2025-04-04 20:18:33,c4:7c:8d:6d:26:c9,26.1,37,118,80
2025-04-04 20:29:05,c4:7c:8d:6d:26:c9,26.0,37,267,80
2025-04-04 20:39:42,c4:7c:8d:6d:26:c9,25.9,37,185,81
2025-04-04 20:50:14,c4:7c:8d:6d:26:c9,25.9,37,199,80
2025-04-04 21:00:48,c4:7c:8d:6d:26:c9,25.9,36,135,81
2025-04-04 21:11:24,c4:7c:8d:6d:26:c9,25.9,37,232,80
2025-04-04 21:21:57,c4:7c:8d:6d:26:c9,25.8,36,186,80
2025-04-04 21:32:35,c4:7c:8d:6d:26:c9,25.9,36,234,79
2025-04-04 21:43:13,c4:7c:8d:6d:26:c9,25.7,36,232,80
2025-04-04 21:53:50,c4:7c:8d:6d:26:c9,25.5,36,199,81
2025-04-04 22:04:26,c4:7c:8d:6d:26:c9,25.3,36,135,81
2025-04-04 22:15:00,c4:7c:8d:6d:26:c9,25.3,36,203,78
2025-04-04 22:25:35,c4:7c:8d:6d:26:c9,25.3,36,120,80
2025-04-04 22:36:08,c4:7c:8d:6d:26:c9,25.1,36,199,78
2025-04-04 22:46:43,c4:7c:8d:6d:26:c9,25.1,36,97,80
2025-04-04 22:57:18,c4:7c:8d:6d:26:c9,25.4,36,232,77
2025-04-04 23:07:53,c4:7c:8d:6d:26:c9,25.6,36,154,79
2025-04-04 23:18:31,c4:7c:8d:6d:26:c9,25.6,36,215,77
2025-04-04 23:29:07,c4:7c:8d:6d:26:c9,25.6,36,215,77
2025-04-04 23:39:43,c4:7c:8d:6d:26:c9,25.6,36,118,80
2025-04-04 23:50:16,c4:7c:8d:6d:26:c9,25.6,36,203,77
2025-04-05 00:00:50,c4:7c:8d:6d:26:c9,25.5,36,135,77
2025-04-05 00:11:23,c4:7c:8d:6d:26:c9,25.3,36,203,79
2025-04-05 00:21:57,c4:7c:8d:6d:26:c9,25.3,36,100,77
2025-04-05 00:32:37,c4:7c:8d:6d:26:c9,25.2,36,203,78
2025-04-05 00:43:11,c4:7c:8d:6d:26:c9,25.2,36,220,78
2025-04-05 00:53:45,c4:7c:8d:6d:26:c9,25.0,36,81,78
2025-04-05 01:04:26,c4:7c:8d:6d:26:c9,25.0,36,220,78
2025-04-05 01:14:59,c4:7c:8d:6d:26:c9,24.8,36,136,78
2025-04-05 01:25:33,c4:7c:8d:6d:26:c9,24.8,36,220,78
2025-04-05 01:36:07,c4:7c:8d:6d:26:c9,24.8,36,61,79
2025-04-05 01:46:41,c4:7c:8d:6d:26:c9,24.6,36,234,78
2025-04-05 01:57:17,c4:7c:8d:6d:26:c9,24.6,36,120,79
2025-04-05 02:07:52,c4:7c:8d:6d:26:c9,24.4,36,220,79
2025-04-05 02:18:27,c4:7c:8d:6d:26:c9,25.4,36,8180,77
2025-04-05 02:29:00,c4:7c:8d:6d:26:c9,26.0,36,8340,77
2025-04-05 02:39:32,c4:7c:8d:6d:26:c9,26.3,36,152,76
2025-04-05 02:50:10,c4:7c:8d:6d:26:c9,25.4,36,237,77
2025-04-05 03:00:46,c4:7c:8d:6d:26:c9,24.9,36,136,78
2025-04-05 03:11:20,c4:7c:8d:6d:26:c9,24.6,36,233,79
2025-04-05 03:21:52,c4:7c:8d:6d:26:c9,24.5,36,100,79
2025-04-05 03:32:26,c4:7c:8d:6d:26:c9,24.3,36,233,79
2025-04-05 03:43:02,c4:7c:8d:6d:26:c9,24.1,36,100,79
2025-04-05 03:53:35,c4:7c:8d:6d:26:c9,24.1,36,203,79
2025-04-05 04:04:07,c4:7c:8d:6d:26:c9,24.1,36,138,78
2025-04-05 04:14:41,c4:7c:8d:6d:26:c9,24.1,36,203,78
2025-04-05 04:25:14,c4:7c:8d:6d:26:c9,23.9,36,99,79
2025-04-05 04:35:49,c4:7c:8d:6d:26:c9,23.9,36,202,79
2025-04-05 04:46:24,c4:7c:8d:6d:26:c9,23.8,35,79,80
2025-04-05 04:56:58,c4:7c:8d:6d:26:c9,23.8,35,202,78
2025-04-05 05:07:34,c4:7c:8d:6d:26:c9,23.6,36,136,78
2025-04-05 05:18:07,c4:7c:8d:6d:26:c9,23.6,35,205,80
2025-04-05 05:28:40,c4:7c:8d:6d:26:c9,23.7,35,118,79
2025-04-05 05:39:13,c4:7c:8d:6d:26:c9,23.5,35,237,78
2025-04-05 05:49:47,c4:7c:8d:6d:26:c9,23.4,35,82,78
2025-04-05 06:00:22,c4:7c:8d:6d:26:c9,23.5,35,202,81
2025-04-05 06:10:59,c4:7c:8d:6d:26:c9,23.2,35,118,78
2025-04-05 06:21:32,c4:7c:8d:6d:26:c9,23.3,35,205,78
2025-04-05 06:32:04,c4:7c:8d:6d:26:c9,23.2,35,136,80
2025-04-05 06:42:39,c4:7c:8d:6d:26:c9,23.2,35,202,79
2025-04-05 06:53:13,c4:7c:8d:6d:26:c9,23.0,35,233,79
2025-04-05 07:03:47,c4:7c:8d:6d:26:c9,23.0,35,99,77
2025-04-05 07:14:21,c4:7c:8d:6d:26:c9,23.0,35,205,77
2025-04-05 07:24:56,c4:7c:8d:6d:26:c9,22.9,35,102,79
2025-04-05 07:35:32,c4:7c:8d:6d:26:c9,22.7,35,189,76
2025-04-05 07:46:04,c4:7c:8d:6d:26:c9,22.5,35,171,77
2025-04-05 07:56:39,c4:7c:8d:6d:26:c9,22.6,35,202,76
2025-04-05 08:07:12,c4:7c:8d:6d:26:c9,22.7,35,99,79
2025-04-05 08:17:44,c4:7c:8d:6d:26:c9,22.5,35,220,80
2025-04-05 08:28:18,c4:7c:8d:6d:26:c9,22.5,35,102,80
2025-04-05 08:38:54,c4:7c:8d:6d:26:c9,22.5,35,205,77
