Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-16 12:52:05,c4:7c:8d:6d:26:c9,26.58,59.51,821.55,78.8
2025-04-16 12:42:05,c4:7c:8d:6d:26:c9,24.82,61.46,835.59,83.95
2025-04-16 12:32:05,c4:7c:8d:6d:26:c9,26.38,60.22,824.13,78.83
2025-04-16 12:22:05,c4:7c:8d:6d:26:c9,26.77,60.16,852.37,80.74
2025-04-16 12:12:05,c4:7c:8d:6d:26:c9,26.99,62.38,892.12,79.4
2025-04-16 12:02:05,c4:7c:8d:6d:26:c9,26.82,62.47,910.14,82.7
2025-04-16 11:52:05,c4:7c:8d:6d:26:c9,26.33,61.22,888.3,80.59
2025-04-16 11:42:05,c4:7c:8d:6d:26:c9,26.68,60.46,909.72,84.25
2025-04-16 11:32:05,c4:7c:8d:6d:26:c9,25.6,60.34,922.72,83.52
2025-04-16 11:22:05,c4:7c:8d:6d:26:c9,26.95,61.55,970.34,81.65
2025-04-16 11:12:05,c4:7c:8d:6d:26:c9,26.3,63.63,989.86,84.77
2025-04-16 11:02:05,c4:7c:8d:6d:26:c9,28.21,62.38,974.68,83.56
2025-04-16 10:52:05,c4:7c:8d:6d:26:c9,27.06,62.23,977.44,83.26
2025-04-16 10:42:05,c4:7c:8d:6d:26:c9,26.65,62.61,1003.27,85.55
2025-04-16 10:32:05,c4:7c:8d:6d:26:c9,26.07,62.37,991.22,84.4
2025-04-16 10:22:05,c4:7c:8d:6d:26:c9,26.25,63.97,1006.9,84.24
2025-04-16 10:12:05,c4:7c:8d:6d:26:c9,28.37,62.12,1034.1,88.48
2025-04-16 10:02:05,c4:7c:8d:6d:26:c9,26.45,62.74,1020.23,88.81
2025-04-16 09:52:05,c4:7c:8d:6d:26:c9,28.92,63.18,997.91,89.21
2025-04-16 09:42:05,c4:7c:8d:6d:26:c9,27.46,64.87,1027.27,89.86
2025-04-16 09:32:05,c4:7c:8d:6d:26:c9,27.49,63.8,999.37,84.34
2025-04-16 09:22:05,c4:7c:8d:6d:26:c9,28.95,63.87,992.9,85.2
2025-04-16 09:12:05,c4:7c:8d:6d:26:c9,27.02,64.34,1006.4,86.22
2025-04-16 09:02:05,c4:7c:8d:6d:26:c9,28.74,62.91,972.53,85.76
2025-04-16 08:52:05,c4:7c:8d:6d:26:c9,28.86,65.6,963.59,86.31
2025-04-16 08:42:05,c4:7c:8d:6d:26:c9,28.73,66.03,978.69,88.72
2025-04-16 08:32:05,c4:7c:8d:6d:26:c9,28.56,63.35,953.28,85.57
2025-04-16 08:22:05,c4:7c:8d:6d:26:c9,28.28,64.26,974.26,86.49
2025-04-16 08:12:05,c4:7c:8d:6d:26:c9,28.08,64.3,966.72,85.64
2025-04-16 08:02:05,c4:7c:8d:6d:26:c9,27.96,64.38,928.17,86.0
2025-04-16 07:52:05,c4:7c:8d:6d:26:c9,27.15,65.17,873.74,85.75
2025-04-16 07:42:05,c4:7c:8d:6d:26:c9,29.45,67.09,855.19,86.88
2025-04-16 07:32:05,c4:7c:8d:6d:26:c9,29.35,65.45,870.55,90.8
2025-04-16 07:22:05,c4:7c:8d:6d:26:c9,27.81,66.21,844.44,89.37
2025-04-16 07:12:05,c4:7c:8d:6d:26:c9,29.6,65.39,825.34,88.52
2025-04-16 07:02:05,c4:7c:8d:6d:26:c9,27.67,64.88,825.38,89.87
2025-04-16 06:52:05,c4:7c:8d:6d:26:c9,28.59,67.48,767.92,88.92
2025-04-16 06:42:05,c4:7c:8d:6d:26:c9,27.37,66.0,789.39,88.16
2025-04-16 06:32:05,c4:7c:8d:6d:26:c9,28.17,66.3,768.62,85.63
2025-04-16 06:22:05,c4:7c:8d:6d:26:c9,27.94,66.76,734.16,88.56
2025-04-16 06:12:05,c4:7c:8d:6d:26:c9,27.31,68.17,694.5,91.13
2025-04-16 06:02:05,c4:7c:8d:6d:26:c9,27.52,68.02,693.15,87.9
2025-04-16 05:52:05,c4:7c:8d:6d:26:c9,29.3,67.96,695.73,88.66
2025-04-16 05:42:05,c4:7c:8d:6d:26:c9,28.88,67.02,666.14,85.76
2025-04-16 05:32:05,c4:7c:8d:6d:26:c9,28.11,67.7,652.1,89.23
2025-04-16 05:22:05,c4:7c:8d:6d:26:c9,27.91,66.66,652.78,91.54
2025-04-16 05:12:05,c4:7c:8d:6d:26:c9,28.63,66.04,578.43,88.5
2025-04-16 05:02:05,c4:7c:8d:6d:26:c9,27.87,67.68,585.64,87.79
2025-04-16 04:52:05,c4:7c:8d:6d:26:c9,27.3,67.61,558.85,86.22
2025-04-16 04:42:05,c4:7c:8d:6d:26:c9,27.0,68.41,607.4,87.77
2025-04-16 04:32:05,c4:7c:8d:6d:26:c9,28.38,68.81,592.55,90.23
2025-04-16 04:22:05,c4:7c:8d:6d:26:c9,28.79,67.18,577.28,84.28
2025-04-16 04:12:05,c4:7c:8d:6d:26:c9,27.29,66.1,577.86,88.45
2025-04-16 04:02:05,c4:7c:8d:6d:26:c9,26.9,67.08,559.58,83.93
2025-04-16 03:52:05,c4:7c:8d:6d:26:c9,28.45,66.66,541.41,87.79
2025-04-16 03:42:05,c4:7c:8d:6d:26:c9,28.19,69.25,575.34,83.62
2025-04-16 03:32:05,c4:7c:8d:6d:26:c9,27.48,67.25,560.82,84.25
2025-04-16 03:22:05,c4:7c:8d:6d:26:c9,28.65,69.14,541.42,87.91
2025-04-16 03:12:05,c4:7c:8d:6d:26:c9,26.28,67.61,563.02,85.46
2025-04-16 03:02:05,c4:7c:8d:6d:26:c9,26.96,69.58,567.64,87.28
2025-04-16 02:52:05,c4:7c:8d:6d:26:c9,26.91,66.71,564.47,83.04
2025-04-16 02:42:05,c4:7c:8d:6d:26:c9,25.92,67.04,619.11,81.74
2025-04-16 02:32:05,c4:7c:8d:6d:26:c9,27.84,66.83,593.25,83.42
2025-04-16 02:22:05,c4:7c:8d:6d:26:c9,27.6,68.62,628.85,83.07
2025-04-16 02:12:05,c4:7c:8d:6d:26:c9,26.57,66.61,619.47,85.31
2025-04-16 02:02:05,c4:7c:8d:6d:26:c9,27.79,67.91,676.24,85.57
2025-04-16 01:52:05,c4:7c:8d:6d:26:c9,27.17,68.77,674.21,86.16
2025-04-16 01:42:05,c4:7c:8d:6d:26:c9,27.52,67.77,666.32,80.62
2025-04-16 01:32:05,c4:7c:8d:6d:26:c9,27.37,67.51,705.84,83.06
