Timestamp,Temperature,Moisture,Light,Conductivity
2025-04-09 11:05:42,11.87,66.16,516.25,0.65
2025-04-09 10:55:42,15.04,70.89,495.51,0.56
2025-04-09 10:45:42,15.57,62.66,461.37,0.71
2025-04-09 10:35:42,14.21,65.7,382.68,0.64
2025-04-09 10:25:42,17.33,63.7,380.42,0.83
2025-04-09 10:15:42,13.91,66.73,396.25,0.85
2025-04-09 10:05:42,14.63,65.03,442.93,0.74
2025-04-09 09:55:42,18.91,70.88,454.74,0.65
2025-04-09 09:45:42,18.14,71.63,544.82,0.76
2025-04-09 09:35:42,14.92,68.4,379.85,0.53
2025-04-09 09:25:42,17.67,64.24,477.29,0.56
2025-04-09 09:15:42,14.79,67.67,430.55,0.49
2025-04-09 09:05:42,15.83,63.01,486.39,0.85
2025-04-09 08:55:42,17.04,63.01,352.1,0.68
2025-04-09 08:45:42,17.41,69.36,379.82,0.8
2025-04-09 08:35:42,10.87,67.6,363.8,0.64
2025-04-09 08:25:42,14.19,63.56,433.24,0.57
2025-04-09 08:15:42,16.16,63.66,376.24,0.74
2025-04-09 08:05:42,14.78,65.97,499.44,0.65
2025-04-09 07:55:42,11.84,64.65,450.44,0.51
2025-04-09 07:45:42,14.92,68.97,371.08,0.5
2025-04-09 07:35:42,10.63,60.51,446.65,0.58
2025-04-09 07:25:42,13.31,65.93,413.91,0.74
2025-04-09 07:15:42,13.19,66.67,413.73,0.56
2025-04-09 07:05:42,15.3,70.22,518.8,0.57
2025-04-09 06:55:42,12.12,65.83,436.44,0.85
2025-04-09 06:45:42,15.34,71.45,546.8,0.52
2025-04-09 06:35:42,15.2,72.01,530.89,0.67
2025-04-09 06:25:42,16.12,70.66,542.71,0.92
2025-04-09 06:15:42,14.62,63.99,497.46,0.71
2025-04-09 06:05:42,18.81,65.08,369.63,0.81
2025-04-09 05:55:42,19.46,69.94,434.23,0.75
2025-04-09 05:45:42,16.11,64.9,404.15,0.66
2025-04-09 05:35:42,15.72,67.37,505.57,0.62
2025-04-09 05:25:42,19.02,71.1,538.33,0.76
2025-04-09 05:15:42,12.33,68.38,370.52,0.73
2025-04-09 05:05:42,14.94,62.82,340.49,0.53
2025-04-09 04:55:42,14.67,63.81,326.57,0.69
2025-04-09 04:45:42,14.03,64.42,425.49,0.66
2025-04-09 04:35:42,13.14,65.5,498.31,0.5
2025-04-09 04:25:42,16.33,69.42,416.6,0.66
2025-04-09 04:15:42,16.61,65.65,486.75,0.66
2025-04-09 04:05:42,12.43,62.94,496.38,0.53
2025-04-09 03:55:42,15.7,67.67,413.64,0.72
2025-04-09 03:45:42,14.41,67.74,484.42,0.59
2025-04-09 03:35:42,12.73,63.94,436.1,0.65
2025-04-09 03:25:42,13.87,67.78,372.87,0.53
2025-04-09 03:15:42,11.72,65.49,357.39,0.72
2025-04-09 03:05:42,13.55,65.42,408.87,0.65
2025-04-09 02:55:42,12.84,70.44,402.92,0.8
2025-04-09 02:45:42,15.67,71.62,437.07,0.85
2025-04-09 02:35:42,14.4,70.58,382.57,0.86
2025-04-09 02:25:42,15.99,66.65,524.57,0.86
2025-04-09 02:15:42,15.68,72.47,500.12,0.63
2025-04-09 02:05:42,13.67,71.1,520.78,0.81
2025-04-09 01:55:42,16.68,64.07,526.28,0.54
2025-04-09 01:45:42,19.33,64.04,536.94,0.69
2025-04-09 01:35:42,14.44,66.98,357.3,0.7
2025-04-09 01:25:42,18.0,69.96,415.47,0.63
2025-04-09 01:15:42,13.68,65.05,476.74,0.73
2025-04-09 01:05:42,15.49,71.18,340.47,0.79
2025-04-09 00:55:42,15.3,69.11,328.47,0.84
2025-04-09 00:45:42,16.82,66.22,503.03,0.5
2025-04-09 00:35:42,10.85,61.18,504.05,0.74
2025-04-09 00:25:42,11.25,62.42,492.48,0.43
2025-04-09 00:15:42,14.93,69.38,487.98,0.75
2025-04-09 00:05:42,15.95,63.83,302.63,0.46
2025-04-08 23:55:42,14.58,65.41,384.16,0.44
2025-04-08 23:45:42,11.2,67.81,472.08,0.63
2025-04-08 23:35:42,14.48,64.42,448.01,0.57
2025-04-08 23:25:42,16.73,70.16,344.8,0.81
2025-04-08 23:15:42,17.81,61.85,337.67,0.8
2025-04-08 23:05:42,15.43,67.88,456.0,0.81
2025-04-08 22:55:42,18.21,62.43,436.05,0.63
2025-04-08 22:45:42,14.1,65.81,478.17,0.82
2025-04-08 22:35:42,19.03,72.79,397.32,0.9
2025-04-08 22:25:42,17.47,65.0,405.91,0.8
2025-04-08 22:15:42,16.31,67.65,430.28,0.66
2025-04-08 22:05:42,19.04,69.71,459.46,0.82
2025-04-08 21:55:42,18.73,69.17,508.55,0.76
2025-04-08 21:45:42,13.4,69.46,397.68,0.78
2025-04-08 21:35:42,19.01,69.22,404.41,0.68
2025-04-08 21:25:42,15.64,64.71,500.33,0.83
2025-04-08 21:15:42,14.1,67.57,375.35,0.72
2025-04-08 21:05:42,17.39,70.42,456.26,0.77
2025-04-08 20:55:42,17.77,65.62,435.13,0.75
2025-04-08 20:45:42,15.64,64.59,329.87,0.45
2025-04-08 20:35:42,14.04,62.79,505.61,0.81
2025-04-08 20:25:42,10.74,63.85,340.21,0.72
2025-04-08 20:15:42,11.74,65.88,447.76,0.46
2025-04-08 20:05:42,11.4,65.54,463.04,0.49
2025-04-08 19:55:42,13.14,63.34,356.07,0.7
2025-04-08 19:45:42,11.01,69.18,471.57,0.67
2025-04-08 19:35:42,16.95,63.67,452.26,0.48
2025-04-08 19:25:42,13.3,67.96,442.33,0.49
2025-04-08 19:15:42,14.26,69.35,440.94,0.81
2025-04-08 19:05:42,13.48,63.81,352.59,0.84
2025-04-08 18:55:42,15.02,65.26,356.57,0.88
2025-04-08 18:45:42,17.43,68.55,401.98,0.7
2025-04-08 18:35:42,17.73,65.44,438.6,0.61
2025-04-08 18:25:42,15.98,67.37,441.31,0.77
2025-04-08 18:15:42,14.87,71.8,383.98,0.82
2025-04-08 18:05:42,18.61,72.58,508.33,0.9
2025-04-08 17:55:42,16.4,66.6,507.59,0.66
2025-04-08 17:45:42,18.27,64.61,362.46,0.61
2025-04-08 17:35:42,14.62,62.9,360.75,0.88
2025-04-08 17:25:42,15.46,65.29,440.03,0.77
2025-04-08 17:15:42,18.55,70.79,527.36,0.77
2025-04-08 17:05:42,16.44,63.37,366.71,0.68
2025-04-08 16:55:42,11.3,67.88,507.33,0.59
2025-04-08 16:45:42,17.31,64.27,443.45,0.78
2025-04-08 16:35:42,14.4,63.91,387.0,0.73
2025-04-08 16:25:42,13.4,62.55,394.16,0.55
2025-04-08 16:15:42,11.47,64.05,499.41,0.56
2025-04-08 16:05:42,11.04,62.32,433.89,0.41
2025-04-08 15:55:42,12.27,60.12,368.53,0.67
2025-04-08 15:45:42,10.36,66.42,444.48,0.58
2025-04-08 15:35:42,12.34,64.02,406.92,0.46
2025-04-08 15:25:42,15.01,68.35,424.28,0.77
2025-04-08 15:15:42,16.83,63.1,487.81,0.56
2025-04-08 15:05:42,12.61,64.04,416.56,0.73
2025-04-08 14:55:42,18.15,66.96,367.12,0.5
2025-04-08 14:45:42,12.92,65.89,500.37,0.75
2025-04-08 14:35:42,18.57,70.66,543.74,0.89
2025-04-08 14:25:42,19.76,70.31,463.04,0.92
2025-04-08 14:15:42,19.14,71.56,385.62,0.7
2025-04-08 14:05:42,14.1,70.22,475.97,0.62
2025-04-08 13:55:42,15.65,63.62,375.7,0.7
2025-04-08 13:45:42,14.54,63.98,416.65,0.59
2025-04-08 13:35:42,18.21,68.65,525.56,0.65
2025-04-08 13:25:42,17.79,71.96,368.27,0.68
2025-04-08 13:15:42,15.82,70.31,506.84,0.68
2025-04-08 13:05:42,15.07,63.87,447.09,0.84
2025-04-08 12:55:42,12.59,63.44,443.62,0.57
2025-04-08 12:45:42,13.18,65.44,457.17,0.66
2025-04-08 12:35:42,14.26,62.75,437.23,0.81
2025-04-08 12:25:42,11.61,63.36,413.04,0.52
2025-04-08 12:15:42,16.47,64.67,427.16,0.4
2025-04-08 12:05:42,14.56,61.87,426.59,0.78
2025-04-08 11:55:42,10.62,64.03,343.39,0.58
2025-04-08 11:45:42,11.54,65.51,501.6,0.63
2025-04-08 11:35:42,11.11,68.39,396.84,0.46
2025-04-08 11:25:42,14.7,68.8,318.73,0.52
2025-04-08 11:15:42,12.1,62.68,416.12,0.73
2025-04-08 11:05:42,14.86,70.18,409.11,0.57
2025-04-08 10:55:42,17.0,62.51,457.37,0.73
2025-04-08 10:45:42,12.56,70.35,490.77,0.81
2025-04-08 10:35:42,14.42,63.04,417.4,0.78
2025-04-08 10:25:42,19.68,66.79,393.83,0.83
2025-04-08 10:15:42,18.09,69.44,409.63,0.79
2025-04-08 10:05:42,18.98,67.46,542.54,0.74
2025-04-08 09:55:42,16.38,66.48,379.81,0.89
2025-04-08 09:45:42,17.22,68.64,545.69,0.63
2025-04-08 09:35:42,18.54,71.92,421.93,0.72
2025-04-08 09:25:42,18.93,70.61,407.26,0.65
2025-04-08 09:15:42,13.82,67.67,541.45,0.86
2025-04-08 09:05:42,14.32,70.22,342.16,0.64
2025-04-08 08:55:42,16.02,66.74,434.88,0.75
2025-04-08 08:45:42,11.43,64.02,364.26,0.71
2025-04-08 08:35:42,13.39,70.16,373.93,0.5
2025-04-08 08:25:42,12.32,62.16,427.17,0.73
2025-04-08 08:15:42,11.61,65.45,467.42,0.68
2025-04-08 08:05:42,16.37,60.92,367.58,0.63
2025-04-08 07:55:42,10.49,61.49,413.02,0.65
2025-04-08 07:45:42,16.78,67.09,490.92,0.52
2025-04-08 07:35:42,15.1,61.55,488.05,0.6
2025-04-08 07:25:42,15.01,70.48,445.13,0.72
2025-04-08 07:15:42,15.37,68.48,369.55,0.48
2025-04-08 07:05:42,14.46,66.04,407.58,0.5
2025-04-08 06:55:42,13.54,66.44,391.99,0.61
