Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-30 14:54:39,c4:7c:8d:6d:26:c9,26.87,60.95,772.68,80.15
2025-04-30 14:44:39,c4:7c:8d:6d:26:c9,24.93,59.07,821.6,80.3
2025-04-30 14:34:39,c4:7c:8d:6d:26:c9,26.77,59.76,849.07,80.08
2025-04-30 14:24:39,c4:7c:8d:6d:26:c9,27.44,59.52,846.62,85.21
2025-04-30 14:14:39,c4:7c:8d:6d:26:c9,25.14,60.76,895.42,83.5
2025-04-30 14:04:39,c4:7c:8d:6d:26:c9,26.54,60.23,885.35,85.63
2025-04-30 13:54:39,c4:7c:8d:6d:26:c9,26.49,63.04,889.1,79.86
2025-04-30 13:44:39,c4:7c:8d:6d:26:c9,27.4,63.13,939.99,84.84
2025-04-30 13:34:39,c4:7c:8d:6d:26:c9,26.54,61.56,930.43,84.58
2025-04-30 13:24:39,c4:7c:8d:6d:26:c9,25.95,60.91,951.28,86.38
2025-04-30 13:14:39,c4:7c:8d:6d:26:c9,28.01,62.89,991.38,86.93
2025-04-30 13:04:39,c4:7c:8d:6d:26:c9,28.14,61.23,968.84,84.42
2025-04-30 12:54:39,c4:7c:8d:6d:26:c9,26.41,63.55,965.08,83.55
2025-04-30 12:44:39,c4:7c:8d:6d:26:c9,26.15,63.48,980.08,87.88
2025-04-30 12:34:39,c4:7c:8d:6d:26:c9,26.52,61.38,1000.95,86.03
2025-04-30 12:24:39,c4:7c:8d:6d:26:c9,28.47,63.28,1030.27,86.96
2025-04-30 12:14:39,c4:7c:8d:6d:26:c9,28.17,63.38,1035.71,83.66
2025-04-30 12:04:39,c4:7c:8d:6d:26:c9,26.37,64.79,1045.62,89.47
2025-04-30 11:54:39,c4:7c:8d:6d:26:c9,26.47,63.08,1018.92,86.88
2025-04-30 11:44:39,c4:7c:8d:6d:26:c9,27.84,63.76,1009.93,85.62
2025-04-30 11:34:39,c4:7c:8d:6d:26:c9,28.51,63.76,993.55,89.99
2025-04-30 11:24:39,c4:7c:8d:6d:26:c9,26.58,65.63,1026.24,87.69
2025-04-30 11:14:39,c4:7c:8d:6d:26:c9,27.97,62.68,1022.29,89.22
2025-04-30 11:04:39,c4:7c:8d:6d:26:c9,27.27,64.46,1001.04,84.35
2025-04-30 10:54:39,c4:7c:8d:6d:26:c9,29.15,63.15,981.79,88.61
2025-04-30 10:44:39,c4:7c:8d:6d:26:c9,27.78,65.95,966.55,89.36
2025-04-30 10:34:39,c4:7c:8d:6d:26:c9,29.1,66.37,938.92,90.98
2025-04-30 10:24:39,c4:7c:8d:6d:26:c9,29.1,65.94,920.8,90.23
2025-04-30 10:14:39,c4:7c:8d:6d:26:c9,27.85,63.89,959.04,87.08
2025-04-30 10:04:39,c4:7c:8d:6d:26:c9,27.19,63.71,952.72,91.09
2025-04-30 09:54:39,c4:7c:8d:6d:26:c9,29.27,64.38,921.1,90.8
2025-04-30 09:44:39,c4:7c:8d:6d:26:c9,29.34,64.9,899.46,87.94
2025-04-30 09:34:39,c4:7c:8d:6d:26:c9,27.96,67.08,886.21,87.37
2025-04-30 09:24:39,c4:7c:8d:6d:26:c9,28.54,64.91,823.18,89.44
2025-04-30 09:14:39,c4:7c:8d:6d:26:c9,29.64,66.91,853.29,90.23
2025-04-30 09:04:39,c4:7c:8d:6d:26:c9,27.0,66.42,812.96,89.91
2025-04-30 08:54:39,c4:7c:8d:6d:26:c9,29.08,67.18,780.1,88.55
2025-04-30 08:44:39,c4:7c:8d:6d:26:c9,28.86,66.92,753.56,86.43
2025-04-30 08:34:39,c4:7c:8d:6d:26:c9,27.48,64.74,772.6,90.26
2025-04-30 08:24:39,c4:7c:8d:6d:26:c9,28.1,67.47,733.49,90.92
2025-04-30 08:14:39,c4:7c:8d:6d:26:c9,29.12,67.86,678.39,88.41
2025-04-30 08:04:39,c4:7c:8d:6d:26:c9,27.07,67.23,685.93,89.42
2025-04-30 07:54:39,c4:7c:8d:6d:26:c9,28.86,65.27,696.86,86.82
2025-04-30 07:44:39,c4:7c:8d:6d:26:c9,28.49,67.58,649.51,85.35
2025-04-30 07:34:39,c4:7c:8d:6d:26:c9,28.55,66.02,671.6,86.52
2025-04-30 07:24:39,c4:7c:8d:6d:26:c9,26.84,65.5,613.59,86.64
2025-04-30 07:14:39,c4:7c:8d:6d:26:c9,27.56,66.77,594.16,90.15
2025-04-30 07:04:39,c4:7c:8d:6d:26:c9,27.53,66.62,588.52,85.86
2025-04-30 06:54:39,c4:7c:8d:6d:26:c9,29.29,68.53,554.43,90.6
2025-04-30 06:44:39,c4:7c:8d:6d:26:c9,29.28,67.07,604.65,88.13
2025-04-30 06:34:39,c4:7c:8d:6d:26:c9,29.1,66.36,551.81,87.75
2025-04-30 06:24:39,c4:7c:8d:6d:26:c9,27.68,65.91,586.89,88.99
2025-04-30 06:14:39,c4:7c:8d:6d:26:c9,28.43,67.93,539.99,84.53
2025-04-30 06:04:39,c4:7c:8d:6d:26:c9,28.32,67.51,578.59,87.78
2025-04-30 05:54:39,c4:7c:8d:6d:26:c9,26.69,66.9,533.08,87.51
2025-04-30 05:44:39,c4:7c:8d:6d:26:c9,28.04,66.74,586.24,88.39
2025-04-30 05:34:39,c4:7c:8d:6d:26:c9,27.94,67.12,566.55,86.07
2025-04-30 05:24:39,c4:7c:8d:6d:26:c9,26.18,67.9,533.5,84.4
2025-04-30 05:14:39,c4:7c:8d:6d:26:c9,27.04,66.46,601.01,84.19
2025-04-30 05:04:39,c4:7c:8d:6d:26:c9,26.26,67.38,603.97,83.44
2025-04-30 04:54:39,c4:7c:8d:6d:26:c9,25.98,68.82,568.41,82.98
2025-04-30 04:44:39,c4:7c:8d:6d:26:c9,28.02,68.18,627.36,81.46
2025-04-30 04:34:39,c4:7c:8d:6d:26:c9,26.1,69.05,579.2,85.18
2025-04-30 04:24:39,c4:7c:8d:6d:26:c9,26.55,67.62,642.64,83.39
2025-04-30 04:14:39,c4:7c:8d:6d:26:c9,25.81,68.98,631.81,82.58
2025-04-30 04:04:39,c4:7c:8d:6d:26:c9,26.32,69.44,630.5,85.07
2025-04-30 03:54:39,c4:7c:8d:6d:26:c9,26.18,69.51,684.64,81.36
2025-04-30 03:44:39,c4:7c:8d:6d:26:c9,25.35,69.14,699.39,83.72
2025-04-30 03:34:39,c4:7c:8d:6d:26:c9,26.52,68.09,738.87,79.24
2025-04-30 03:24:39,c4:7c:8d:6d:26:c9,26.0,66.98,749.07,82.11
2025-04-30 03:14:39,c4:7c:8d:6d:26:c9,25.69,69.36,768.25,79.34
2025-04-30 03:04:39,c4:7c:8d:6d:26:c9,25.92,69.11,787.93,84.66
2025-04-30 02:54:39,c4:7c:8d:6d:26:c9,27.0,69.96,782.58,77.88
2025-04-30 02:44:39,c4:7c:8d:6d:26:c9,26.5,68.84,826.28,79.19
2025-04-30 02:34:39,c4:7c:8d:6d:26:c9,27.06,68.49,809.07,82.76
2025-04-30 02:24:39,c4:7c:8d:6d:26:c9,24.84,69.71,816.13,83.01
2025-04-30 02:14:39,c4:7c:8d:6d:26:c9,26.71,67.02,853.72,77.2
2025-04-30 02:04:39,c4:7c:8d:6d:26:c9,25.66,69.78,854.76,78.19
2025-04-30 01:54:39,c4:7c:8d:6d:26:c9,26.03,68.89,914.65,78.08
2025-04-30 01:44:39,c4:7c:8d:6d:26:c9,25.07,67.14,939.6,77.86
