Timestamp,MAC,Temperature,Moisture,Light,Conductivity
2025-04-28 21:19:56,c4:7c:8d:6d:4e:df,25.3,100,84,4883
2025-04-28 21:19:59,c4:7c:8d:6d:26:c9,26.1,11,245,14
2025-04-28 21:20:01,c4:7c:8d:6d:28:fa,25.5,100,220,4856
2025-04-28 21:20:04,c4:7c:8d:6d:24:ed,26.2,77,132,2420
2025-04-28 21:30:29,c4:7c:8d:6d:4e:df,25.4,100,125,4874
2025-04-28 21:30:33,c4:7c:8d:6d:28:fa,25.4,100,139,4874
2025-04-28 21:30:36,c4:7c:8d:6d:24:ed,26.0,76,74,2425
2025-04-28 21:41:00,c4:7c:8d:6d:4e:df,25.2,100,107,4892
2025-04-28 21:41:04,c4:7c:8d:6d:28:fa,25.4,100,281,4874
2025-04-28 21:41:08,c4:7c:8d:6d:24:ed,26.0,76,89,2397
2025-04-28 21:45:59,c4:7c:8d:6d:26:c9,26.0,11,228,11
2025-04-28 21:46:04,c4:7c:8d:6d:24:ed,26.0,76,131,2397
2025-04-28 21:56:29,c4:7c:8d:6d:4e:df,25.1,100,66,4892
2025-04-28 21:56:32,c4:7c:8d:6d:26:c9,25.8,11,261,12
2025-04-28 21:56:34,c4:7c:8d:6d:28:fa,25.3,100,203,4883
2025-04-28 21:56:39,c4:7c:8d:6d:24:ed,25.8,76,94,2346
2025-04-28 22:07:06,c4:7c:8d:6d:4e:df,25.1,100,105,4901
2025-04-28 22:07:08,c4:7c:8d:6d:26:c9,25.5,11,131,12
2025-04-28 22:07:11,c4:7c:8d:6d:28:fa,25.1,100,203,4892
2025-04-28 22:07:19,c4:7c:8d:6d:24:ed,25.5,76,113,2364
2025-04-28 22:17:43,c4:7c:8d:6d:4e:df,25.0,100,43,4901
2025-04-28 22:17:45,c4:7c:8d:6d:26:c9,25.9,11,229,12
2025-04-28 22:17:47,c4:7c:8d:6d:28:fa,24.9,100,66,4919
2025-04-28 22:17:50,c4:7c:8d:6d:24:ed,25.6,76,0,2273
2025-04-28 22:28:14,c4:7c:8d:6d:4e:df,25.1,100,126,4901
2025-04-28 22:28:16,c4:7c:8d:6d:26:c9,25.9,11,178,11
2025-04-28 22:28:19,c4:7c:8d:6d:28:fa,24.7,100,249,4928
2025-04-28 22:28:23,c4:7c:8d:6d:24:ed,25.7,76,115,2300
2025-04-28 22:38:47,c4:7c:8d:6d:4e:df,25.0,100,90,4910
2025-04-28 22:38:49,c4:7c:8d:6d:26:c9,26.1,11,260,11
2025-04-28 22:38:52,c4:7c:8d:6d:28:fa,24.7,100,107,4928
